frame,time,offset,recv time,send,the,raw,time_2
67,0.036648699,-0.008436628,1641996541,1641996541,0.038219938,8.3535,0.039648699
68,0.035113754,-0.008435668,1641996541,1641996541,0.036690006,8.3535,0.038113754
69,0.035971391,-0.008448588,1641996541,1641996541,0.037530193,8.3535,0.038971391
70,0.033378335,-0.008451434,1641996541,1641996541,0.034940014,8.3535,0.036378335
71,0.038767858,-0.008453651,1641996541,1641996541,0.040330181,8.3535,0.041767858
72,0.036381752,-0.008443386,1641996541,1641996541,0.037950048,8.3535,0.039381752
73,0.040019527,-0.008446947,1641996541,1641996541,0.041589985,8.3535,0.043019527
74,0.036013073,-0.008448309,1641996541,1641996541,0.037580023,8.3535,0.039013073
75,0.035605146,-0.008450224,1641996541,1641996541,0.037160168,8.3535,0.038605146
76,0.042062805,-0.008453414,1641996541,1641996541,0.043619881,8.3535,0.045062805
77,0.03609447,-0.008448167,1641996541,1641996541,0.037650118,8.3535,0.03909447
78,0.036646352,-0.008450017,1641996541,1641996541,0.038210163,8.3535,0.039646352
79,0.038461738,-0.008451038,1641996542,1641996541,0.040030012,8.3535,0.041461738
80,0.045426054,-0.008451862,1641996542,1641996542,0.046979914,8.3535,0.048426054
81,0.04837948,-0.008453666,1641996542,1641996542,0.04993988,8.3535,0.05137948
82,0.030706272,-0.008455381,1641996542,1641996542,0.032259951,8.3535,0.033706272
83,0.034756406,-0.008456929,1641996542,1641996542,0.036309967,8.3535,0.037756406
84,0.037555404,-0.008466907,1641996542,1641996542,0.039099941,8.3535,0.040555404
85,0.04598546,-0.008469582,1641996542,1641996542,0.047529945,8.3535,0.04898546
86,0.035782451,-0.008474225,1641996542,1641996542,0.037319908,8.3535,0.038782451
87,0.035362777,-0.008475598,1641996542,1641996542,0.036900053,8.3535,0.038362777
88,0.037915062,-0.008478951,1641996542,1641996542,0.03944994,8.3535,0.040915062
89,0.03620295,-0.008477969,1641996542,1641996542,0.037729988,8.3535,0.03920295
90,0.035665478,-0.00847527,1641996542,1641996542,0.037199984,8.3535,0.038665478
91,0.03699629,-0.008479282,1641996542,1641996542,0.038529882,8.3535,0.03999629
92,0.038028344,-0.00847493,1641996542,1641996542,0.039560089,8.3535,0.041028344
93,0.036337638,-0.008476519,1641996542,1641996542,0.037879953,8.3535,0.039337638
94,0.038731171,-0.008477522,1641996542,1641996542,0.0402701,8.3535,0.041731171
95,0.037879038,-0.008478689,1641996542,1641996542,0.039409885,8.3535,0.040879038
96,0.038006463,-0.008482852,1641996542,1641996542,0.039530048,8.3535,0.041006463
97,0.036228033,-0.008484217,1641996542,1641996542,0.037750015,8.3535,0.039228033
98,0.049600534,-0.008485012,1641996542,1641996542,0.051119814,8.3535,0.052600534
99,0.041681006,-0.008477404,1641996542,1641996542,0.043209801,8.3535,0.044681006
100,0.03601734,-0.008479517,1641996542,1641996542,0.037549982,8.3535,0.03901734
101,0.034667703,-0.008479806,1641996542,1641996542,0.036200056,8.3535,0.037667703
102,0.050328274,-0.008482237,1641996542,1641996542,0.051870117,8.3535,0.053328274
103,0.041553454,-0.008485512,1641996543,1641996543,0.043080101,8.3535,0.044553454
104,0.036058539,-0.008486623,1641996543,1641996543,0.037580023,8.3535,0.039058539
105,0.037681943,-0.008487111,1641996543,1641996543,0.039200077,8.3535,0.040681943
106,0.036493073,-0.008483897,1641996543,1641996543,0.038029919,8.3535,0.039493073
107,0.036403544,-0.008484966,1641996543,1641996543,0.037930021,8.3535,0.039403544
108,0.035947128,-0.008486076,1641996543,1641996543,0.037480125,8.3535,0.038947128
109,0.035840433,-0.008487623,1641996543,1641996543,0.037360201,8.3535,0.038840433
110,0.046116894,-0.008489912,1641996543,1641996543,0.047630081,8.3535,0.049116894
111,0.035525236,-0.008490714,1641996543,1641996543,0.037050018,8.3535,0.038525236
112,0.045642626,-0.008491051,1641996543,1641996543,0.04715992,8.3535,0.048642626
113,0.036628441,-0.00849028,1641996543,1641996543,0.038150082,8.3535,0.039628441
114,0.036437723,-0.008491013,1641996543,1641996543,0.037950048,8.3535,0.039437723
115,0.036486287,-0.00849237,1641996543,1641996543,0.03801013,8.3535,0.039486287
116,0.04224049,-0.008492579,1641996543,1641996543,0.043760071,8.3535,0.04524049
117,0.044940525,-0.008490138,1641996543,1641996543,0.046459923,8.3535,0.047940525
118,0.035686,-0.008492453,1641996543,1641996543,0.037199984,8.3535,0.038686
119,0.046062734,-0.008493688,1641996543,1641996543,0.047580013,8.3535,0.049062734
120,0.032698656,-0.008493925,1641996543,1641996543,0.034209976,8.3535,0.035698656
121,0.039893756,-0.008495222,1641996543,1641996543,0.041409979,8.3535,0.042893756
122,0.035895042,-0.008483104,1641996543,1641996543,0.037430058,8.3535,0.038895042
123,0.027903223,-0.008483553,1641996543,1641996543,0.029430161,8.3535,0.030903223
124,0.045875198,-0.008479959,1641996543,1641996543,0.047400007,8.3535,0.048875198
125,0.037663045,-0.008459392,1641996543,1641996543,0.039210091,8.3535,0.040663045
126,0.039434994,-0.008461083,1641996543,1641996543,0.04098011,8.3535,0.042434994
127,0.036124739,-0.008463177,1641996544,1641996544,0.037670145,8.3535,0.039124739
128,0.035948291,-0.008464351,1641996544,1641996544,0.037489901,8.3535,0.038948291
129,0.038154853,-0.008466256,1641996544,1641996544,0.039700041,8.3535,0.041154853
130,0.052958115,-0.008463725,1641996544,1641996544,0.054509888,8.3535,0.055958115
131,0.035347199,-0.008455968,1641996544,1641996544,0.036900053,8.3535,0.038347199
132,0.046599721,-0.008457994,1641996544,1641996544,0.048150072,8.3535,0.049599721
133,0.034492593,-0.00845943,1641996544,1641996544,0.036039839,8.3535,0.037492593
134,0.037321433,-0.008463248,1641996544,1641996544,0.038869867,8.3535,0.040321433
135,0.039795886,-0.008460294,1641996544,1641996544,0.041339884,8.3535,0.042795886
136,0.15562546,-0.008461592,1641996544,1641996544,0.15718008,8.3535,0.15862546
137,0.049304929,-0.008463111,1641996544,1641996544,0.050849924,8.3535,0.052304929
138,0.039916743,-0.008464087,1641996544,1641996544,0.041460047,8.3535,0.042916743
139,0.035524481,-0.008466118,1641996544,1641996544,0.037069807,8.3535,0.038524481
140,0.037448735,-0.008468003,1641996544,1641996544,0.038979778,8.3535,0.040448735
141,0.036490786,-0.008465874,1641996544,1641996544,0.038029919,8.3535,0.039490786
142,0.046175155,-0.008467111,1641996544,1641996544,0.047719965,8.3535,0.049175155
143,0.03536401,-0.008467771,1641996544,1641996544,0.036910067,8.3535,0.03836401
144,0.036606576,-0.00847223,1641996544,1641996544,0.038150082,8.3535,0.039606576
145,0.042225799,-0.008472403,1641996544,1641996544,0.043760071,8.3535,0.045225799
146,0.047467351,-0.008473754,1641996544,1641996544,0.049010048,8.3535,0.050467351
147,0.035677209,-0.008475556,1641996545,1641996544,0.037209997,8.3535,0.038677209
148,0.040342265,-0.008476668,1641996545,1641996545,0.041879902,8.3535,0.043342265
149,0.035985755,-0.008473205,1641996545,1641996545,0.037519941,8.3535,0.038985755
150,0.03591407,-0.008473999,1641996545,1641996545,0.037439833,8.3535,0.03891407
151,0.035631504,-0.008474436,1641996545,1641996545,0.037169943,8.3535,0.038631504
152,0.037611862,-0.008476158,1641996545,1641996545,0.039139996,8.3535,0.040611862
153,0.04280626,-0.008472554,1641996545,1641996545,0.044340143,8.3535,0.04580626
154,0.042210273,-0.008473806,1641996545,1641996545,0.043740044,8.3535,0.045210273
155,0.036382568,-0.008475912,1641996545,1641996545,0.037909994,8.3535,0.039382568
156,0.037982687,-0.008476242,1641996545,1641996545,0.039520035,8.3535,0.040982687
157,0.035866047,-0.00847676,1641996545,1641996545,0.037400017,8.3535,0.038866047
158,0.035654333,-0.008477715,1641996545,1641996545,0.037179956,8.3535,0.038654333
159,0.041772462,-0.008480168,1641996545,1641996545,0.043300161,8.3535,0.044772462
160,0.047046222,-0.008482016,1641996545,1641996545,0.048579941,8.3535,0.050046222
161,0.035742059,-0.008486047,1641996545,1641996545,0.037270079,8.3535,0.038742059
162,0.027061154,-0.008485962,1641996545,1641996545,0.028590212,8.3535,0.030061154
163,0.035511398,-0.008486891,1641996545,1641996545,0.03703023,8.3535,0.038511398
164,0.035783704,-0.00848883,1641996545,1641996545,0.037310133,8.3535,0.038783704
165,0.049532794,-0.008489989,1641996545,1641996545,0.051050196,8.3535,0.052532794
166,0.036439977,-0.008491598,1641996545,1641996545,0.037950048,8.3535,0.039439977
167,0.040027154,-0.008492244,1641996545,1641996545,0.041540155,8.3535,0.043027154
168,0.042764601,-0.008493837,1641996545,1641996545,0.044280062,8.3535,0.045764601
169,0.048156759,-0.008494875,1641996545,1641996545,0.049669991,8.3535,0.051156759
170,0.035736365,-0.008495612,1641996545,1641996545,0.037240038,8.3535,0.038736365
171,0.036503807,-0.008495585,1641996546,1641996546,0.03801013,8.3535,0.039503807
172,0.037396364,-0.008497171,1641996546,1641996546,0.038909922,8.3535,0.040396364
173,0.041078977,-0.008497647,1641996546,1641996546,0.042590151,8.3535,0.044078977
174,0.036559483,-0.008498331,1641996546,1641996546,0.038069973,8.3535,0.039559483
175,0.036848886,-0.008500202,1641996546,1641996546,0.038360128,8.3535,0.039848886
176,0.03965567,-0.008500799,1641996546,1641996546,0.041169891,8.3535,0.04265567
177,0.038503975,-0.00850162,1641996546,1641996546,0.040009985,8.3535,0.041503975
178,0.047228652,-0.008502561,1641996546,1641996546,0.048750172,8.3535,0.050228652
179,0.036646023,-0.008503094,1641996546,1641996546,0.038150082,8.3535,0.039646023
