T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,ptp,quic
1641989846.067724051s,1641989846.078685274s,1641989846.078769836s,1641989846.069200103s,0.010961s,-0.009570s,0.000696s,0.010266,0.01225853
1641989846.069200103s,1641989846.080038073s,1641989846.080074543s,1641989846.070528980s,0.010838s,-0.009546s,0.000646s,0.010192,0.011937976
1641989846.070528980s,1641989846.080886154s,1641989846.080922999s,1641989846.072491504s,0.010357s,-0.008432s,0.000963s,0.009394,0.012363791
1641989846.072491504s,1641989846.083562004s,1641989846.083604424s,1641989846.074056388s,0.011070s,-0.009548s,0.000761s,0.010309,0.012335976
1641989846.074056388s,1641989846.084418704s,1641989846.084453237s,1641989846.074875968s,0.010362s,-0.009577s,0.000393s,0.00997,0.012391359
1641989846.074875968s,1641989846.085223325s,1641989846.085277597s,1641989846.075690768s,0.010347s,-0.009587s,0.000380s,0.009967,0.012649441
1641989846.075690768s,1641989846.086066446s,1641989846.086119590s,1641989846.076545925s,0.010376s,-0.009574s,0.000401s,0.009975,0.012637079
1641989846.076545925s,1641989846.086950060s,1641989846.086974145s,1641989846.077388776s,0.010404s,-0.009585s,0.000409s,0.009995,0.012653317
1641989846.077388776s,1641989846.087742903s,1641989846.087800386s,1641989846.078235278s,0.010354s,-0.009565s,0.000394s,0.00996,0.012680128
1641989846.078235278s,1641989846.088597753s,1641989846.088639347s,1641989846.079067077s,0.010362s,-0.009572s,0.000395s,0.009967,0.012848351
1641989846.079067077s,1641989846.089453567s,1641989846.089475243s,1641989846.079898717s,0.010386s,-0.009576s,0.000405s,0.009981,0.012822938
1641989846.079898717s,1641989846.090277732s,1641989846.090301342s,1641989846.083011162s,0.010379s,-0.007290s,0.001544s,0.008834,0.012788263
1641989846.083011162s,1641989846.093409338s,1641989846.093433456s,1641989846.083897236s,0.010398s,-0.009536s,0.000431s,0.009967,0.012747635
1641989846.083897236s,1641989846.094364468s,1641989846.094390690s,1641989846.084801931s,0.010467s,-0.009589s,0.000439s,0.010028,0.012736036
1641989846.084801931s,1641989846.095196610s,1641989846.095233508s,1641989846.085676744s,0.010395s,-0.009557s,0.000419s,0.009976,0.012734371
1641989846.085676744s,1641989846.096081381s,1641989846.096137028s,1641989846.086558449s,0.010405s,-0.009579s,0.000413s,0.009992,0.012724662
1641989846.086558449s,1641989846.096895990s,1641989846.096945836s,1641989846.087362112s,0.010338s,-0.009584s,0.000377s,0.009961,0.012729086
1641989846.087362112s,1641989846.097711861s,1641989846.097745126s,1641989846.088183867s,0.010350s,-0.009561s,0.000394s,0.009956,0.012724827
1641989846.088183867s,1641989846.098524214s,1641989846.098556255s,1641989846.090977783s,0.010340s,-0.007579s,0.001381s,0.00896,0.012726174
1641989846.090977783s,1641989846.101329615s,1641989846.101389843s,1641989846.091805387s,0.010352s,-0.009584s,0.000384s,0.009968,0.012724908
1641989846.091805387s,1641989846.102177138s,1641989846.102197934s,1641989846.092610965s,0.010372s,-0.009587s,0.000392s,0.009979,0.012716979
1641989846.092610965s,1641989846.102956228s,1641989846.102992585s,1641989846.093403201s,0.010345s,-0.009589s,0.000378s,0.009967,0.012717667
1641989846.093403201s,1641989846.103748314s,1641989846.103778909s,1641989846.094194035s,0.010345s,-0.009585s,0.000380s,0.009965,0.012715714
1641989846.094194035s,1641989846.104525189s,1641989846.104587601s,1641989846.094988641s,0.010331s,-0.009599s,0.000366s,0.009965,0.012719429
1641989846.094988641s,1641989846.105323719s,1641989846.105374616s,1641989846.095797255s,0.010335s,-0.009577s,0.000379s,0.009956,0.012720272
1641989846.095797255s,1641989846.106137872s,1641989846.106191331s,1641989846.096591774s,0.010341s,-0.009600s,0.000371s,0.00997,0.012714229
1641989846.096591774s,1641989846.106941952s,1641989846.106980907s,1641989846.097468151s,0.010350s,-0.009513s,0.000419s,0.009931,0.012717105
1641989846.097468151s,1641989846.107827679s,1641989846.107892656s,1641989846.098327893s,0.010360s,-0.009565s,0.000397s,0.009962,0.012719512
1641989846.098327893s,1641989846.108681609s,1641989846.108742587s,1641989846.099209018s,0.010354s,-0.009533s,0.000410s,0.009944,0.012710418
1641989846.099209018s,1641989846.109588927s,1641989846.109590978s,1641989846.100066681s,0.010380s,-0.009524s,0.000428s,0.009952,0.012703123
1641989846.100066681s,1641989846.110448216s,1641989846.110470967s,1641989846.100884002s,0.010381s,-0.009587s,0.000397s,0.009984,0.012701313
1641989846.100884002s,1641989846.111245251s,1641989846.111299193s,1641989846.101736531s,0.010361s,-0.009563s,0.000399s,0.009962,0.012692313
1641989846.101736531s,1641989846.112106354s,1641989846.112190454s,1641989846.102828889s,0.010370s,-0.009362s,0.000504s,0.009866,0.012688659
1641989846.102828889s,1641989846.113185770s,1641989846.113258288s,1641989846.103990091s,0.010357s,-0.009268s,0.000544s,0.009813,0.012686722
1641989846.103990091s,1641989846.114760059s,1641989846.114775505s,1641989846.105238389s,0.010770s,-0.009537s,0.000617s,0.010154,0.012704667
1641989846.105238389s,1641989846.115608359s,1641989846.115653584s,1641989846.106061492s,0.010370s,-0.009592s,0.000389s,0.009981,0.012708013
1641989846.106061492s,1641989846.116399603s,1641989846.116472898s,1641989846.106896033s,0.010338s,-0.009577s,0.000381s,0.009958,0.012709177
1641989846.106896033s,1641989846.117246124s,1641989846.117287102s,1641989846.107702050s,0.010350s,-0.009585s,0.000383s,0.009968,0.012706989
1641989846.107702050s,1641989846.118051251s,1641989846.118103414s,1641989846.108515763s,0.010349s,-0.009588s,0.000381s,0.009969,0.012706722
1641989846.108515763s,1641989846.118858651s,1641989846.118909032s,1641989846.109496405s,0.010343s,-0.009413s,0.000465s,0.009878,0.01270208
