T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,OFF_S
1641512160.958187939s,1641512160.959465017s,1641512160.959653528s,1641512160.958514040s,0.001277s,-0.001140s,0.000069s,0.001208s
1641512160.958709826s,1641512160.959988534s,1641512160.960179925s,1641512160.959054001s,0.001279s,-0.001126s,0.000076s,0.001202s
1641512160.959256661s,1641512160.960527059s,1641512160.960734418s,1641512160.959582554s,0.001270s,-0.001152s,0.000059s,0.001211s
1641512160.959805684s,1641512160.961154736s,1641512160.961294863s,1641512160.960132932s,0.001349s,-0.001162s,0.000093s,0.001256s
1641512160.960360801s,1641512160.961709997s,1641512160.961849932s,1641512160.960669558s,0.001349s,-0.001180s,0.000084s,0.001265s
1641512160.960890241s,1641512160.962235562s,1641512160.962376969s,1641512160.961208425s,0.001345s,-0.001169s,0.000088s,0.001257s
1641512160.961437493s,1641512160.962790631s,1641512160.962932166s,1641512160.961814220s,0.001353s,-0.001118s,0.000118s,0.001236s
1641512160.962043080s,1641512160.963393315s,1641512160.963535939s,1641512160.962384077s,0.001350s,-0.001152s,0.000099s,0.001251s
1641512160.962686688s,1641512160.964037344s,1641512160.964187199s,1641512160.963053259s,0.001351s,-0.001134s,0.000108s,0.001242s
1641512160.963209617s,1641512160.964500189s,1641512160.964721180s,1641512160.963572125s,0.001291s,-0.001149s,0.000071s,0.001220s
1641512160.963774994s,1641512160.965124698s,1641512160.965274777s,1641512160.964108752s,0.001350s,-0.001166s,0.000092s,0.001258s
1641512160.964314746s,1641512160.965663927s,1641512160.965805718s,1641512160.964630014s,0.001349s,-0.001176s,0.000087s,0.001262s
1641512160.964844863s,1641512160.966195188s,1641512160.966339091s,1641512160.965151536s,0.001350s,-0.001188s,0.000081s,0.001269s
1641512160.965323780s,1641512160.966603730s,1641512160.966792209s,1641512160.965673788s,0.001280s,-0.001118s,0.000081s,0.001199s
1641512160.965893480s,1641512160.967241326s,1641512160.967384653s,1641512160.966283229s,0.001348s,-0.001101s,0.000123s,0.001225s
1641512160.966451097s,1641512160.967735308s,1641512160.967968138s,1641512160.966804230s,0.001284s,-0.001164s,0.000060s,0.001224s
1641512160.967006995s,1641512160.968356648s,1641512160.968556455s,1641512160.967425599s,0.001350s,-0.001131s,0.000109s,0.001240s
1641512160.967634041s,1641512160.968930437s,1641512160.969154628s,1641512160.968040144s,0.001297s,-0.001114s,0.000091s,0.001205s
1641512160.968239524s,1641512160.969540994s,1641512160.969755841s,1641512160.968568646s,0.001302s,-0.001187s,0.000057s,0.001244s
1641512160.968798443s,1641512160.970154174s,1641512160.970376829s,1641512160.969336841s,0.001356s,-0.001040s,0.000158s,0.001198s
1641512160.969563408s,1641512160.970943866s,1641512160.971148889s,1641512160.970088264s,0.001380s,-0.001061s,0.000160s,0.001221s
1641512160.970432960s,1641512160.971850933s,1641512160.972054164s,1641512160.970987660s,0.001418s,-0.001067s,0.000176s,0.001242s
1641512160.971201883s,1641512160.972558257s,1641512160.972793872s,1641512160.971687520s,0.001356s,-0.001106s,0.000125s,0.001231s
1641512160.971872576s,1641512160.973245325s,1641512160.973445932s,1641512160.972398630s,0.001373s,-0.001047s,0.000163s,0.001210s
1641512160.972594363s,1641512160.973961226s,1641512160.974142985s,1641512160.973024946s,0.001367s,-0.001118s,0.000124s,0.001243s
1641512160.973237399s,1641512160.974531462s,1641512160.974720229s,1641512160.973551677s,0.001294s,-0.001168s,0.000063s,0.001231s
1641512160.973777099s,1641512160.975127203s,1641512160.975269442s,1641512160.974092523s,0.001350s,-0.001177s,0.000087s,0.001264s
1641512160.974322059s,1641512160.975678688s,1641512160.975821503s,1641512160.974704203s,0.001357s,-0.001117s,0.000120s,0.001237s
1641512160.974874155s,1641512160.976159037s,1641512160.976340476s,1641512160.975222236s,0.001285s,-0.001118s,0.000083s,0.001202s
1641512160.975422293s,1641512160.976692987s,1641512160.976887641s,1641512160.975746936s,0.001271s,-0.001141s,0.000065s,0.001206s
1641512160.975953399s,1641512160.977302871s,1641512160.977442454s,1641512160.976274239s,0.001349s,-0.001168s,0.000091s,0.001259s
1641512160.976481484s,1641512160.977780661s,1641512160.977925684s,1641512160.976796856s,0.001299s,-0.001129s,0.000085s,0.001214s
1641512160.977005506s,1641512160.978354929s,1641512160.978495633s,1641512160.977333430s,0.001349s,-0.001162s,0.000094s,0.001256s
1641512160.977540831s,1641512160.978890287s,1641512160.979028974s,1641512160.977867870s,0.001349s,-0.001161s,0.000094s,0.001255s
1641512160.978074958s,1641512160.979343308s,1641512160.979539851s,1641512160.978394653s,0.001268s,-0.001145s,0.000062s,0.001207s
1641512160.978599136s,1641512160.979948457s,1641512160.980087208s,1641512160.978922738s,0.001349s,-0.001164s,0.000093s,0.001257s
1641512160.979135763s,1641512160.980482694s,1641512160.980625765s,1641512160.979546762s,0.001347s,-0.001079s,0.000134s,0.001213s
1641512160.979745829s,1641512160.981022563s,1641512160.981217282s,1641512160.980074743s,0.001277s,-0.001143s,0.000067s,0.001210s
1641512160.980272456s,1641512160.981543968s,1641512160.981738143s,1641512160.980606995s,0.001271s,-0.001131s,0.000070s,0.001201s
1641512160.980831896s,1641512160.982180925s,1641512160.982324188s,1641512160.981159351s,0.001349s,-0.001165s,0.000092s,0.001257s
1641512160.981386075s,1641512160.982735545s,1641512160.982877849s,1641512160.981715302s,0.001349s,-0.001163s,0.000093s,0.001256s
1641512160.981942026s,1641512160.983290742s,1641512160.983430774s,1641512160.982252762s,0.001349s,-0.001178s,0.000085s,0.001263s
1641512160.982476725s,1641512160.983826836s,1641512160.983967091s,1641512160.982807983s,0.001350s,-0.001159s,0.000095s,0.001255s
1641512160.983037155s,1641512160.984402352s,1641512160.984545840s,1641512160.983356902s,0.001365s,-0.001189s,0.000088s,0.001277s
1641512160.983584095s,1641512160.984933997s,1641512160.985074733s,1641512160.983896081s,0.001350s,-0.001179s,0.000086s,0.001264s
1641512160.984119576s,1641512160.985468331s,1641512160.985610890s,1641512160.984438489s,0.001349s,-0.001173s,0.000088s,0.001261s
1641512160.984668182s,1641512160.986017416s,1641512160.986157447s,1641512160.985020482s,0.001349s,-0.001137s,0.000106s,0.001243s
1641512160.985246633s,1641512160.986539173s,1641512160.986799843s,1641512160.985672372s,0.001292s,-0.001127s,0.000082s,0.001210s
1641512160.985899356s,1641512160.987248449s,1641512160.987391584s,1641512160.986207019s,0.001349s,-0.001184s,0.000082s,0.001267s
1641512160.986362387s,1641512160.987658111s,1641512160.987807166s,1641512160.986702083s,0.001296s,-0.001105s,0.000095s,0.001200s
1641512160.986896827s,1641512160.988167740s,1641512160.988363227s,1641512160.987229282s,0.001271s,-0.001134s,0.000069s,0.001202s
1641512160.987436370s,1641512160.988713305s,1641512160.988901176s,1641512160.987761638s,0.001277s,-0.001139s,0.000069s,0.001208s
1641512160.987972216s,1641512160.989317173s,1641512160.989457525s,1641512160.988297953s,0.001345s,-0.001160s,0.000093s,0.001252s
1641512160.988504832s,1641512160.989855987s,1641512160.990000210s,1641512160.988832861s,0.001351s,-0.001167s,0.000092s,0.001259s
1641512160.989047345s,1641512160.990397488s,1641512160.990537199s,1641512160.989361258s,0.001350s,-0.001176s,0.000087s,0.001263s
1641512160.989566784s,1641512160.990836045s,1641512160.991031500s,1641512160.989888718s,0.001269s,-0.001143s,0.000063s,0.001206s
1641512160.990098827s,1641512160.991447306s,1641512160.991586185s,1641512160.990421804s,0.001348s,-0.001164s,0.000092s,0.001256s
1641512160.990631756s,1641512160.991981255s,1641512160.992120742s,1641512160.990941659s,0.001349s,-0.001179s,0.000085s,0.001264s
1641512160.991148591s,1641512160.992503908s,1641512160.992675363s,1641512160.991556413s,0.001355s,-0.001119s,0.000118s,0.001237s
1641512160.991765532s,1641512160.993033473s,1641512160.993228192s,1641512160.992088561s,0.001268s,-0.001140s,0.000064s,0.001204s
1641512160.992296117s,1641512160.993566142s,1641512160.993762365s,1641512160.992617687s,0.001270s,-0.001145s,0.000063s,0.001207s
1641512160.992829723s,1641512160.994102523s,1641512160.994292250s,1641512160.993146189s,0.001273s,-0.001146s,0.000063s,0.001209s
1641512160.993351246s,1641512160.994622232s,1641512160.994821239s,1641512160.993682764s,0.001271s,-0.001138s,0.000066s,0.001205s
1641512160.993888966s,1641512160.995189493s,1641512160.995303445s,1641512160.994118034s,0.001301s,-0.001185s,0.000058s,0.001243s
1641512160.994323872s,1641512160.995673427s,1641512160.995814290s,1641512160.994648567s,0.001349s,-0.001166s,0.000092s,0.001258s
1641512160.994853520s,1641512160.996123472s,1641512160.996315951s,1641512160.995177277s,0.001270s,-0.001139s,0.000066s,0.001204s
1641512160.995384938s,1641512160.996733581s,1641512160.996876652s,1641512160.995726613s,0.001349s,-0.001150s,0.000099s,0.001249s
1641512160.995936513s,1641512160.997285738s,1641512160.997426601s,1641512160.996250479s,0.001349s,-0.001176s,0.000087s,0.001263s
1641512160.996458036s,1641512160.997724359s,1641512160.997915942s,1641512160.996768147s,0.001266s,-0.001148s,0.000059s,0.001207s
1641512160.996974662s,1641512160.998243941s,1641512160.998431012s,1641512160.997313055s,0.001269s,-0.001118s,0.000076s,0.001194s
1641512160.997521914s,1641512160.998871969s,1641512160.999012192s,1641512160.997853380s,0.001350s,-0.001159s,0.000096s,0.001255s
1641512160.998060260s,1641512160.999330399s,1641512160.999529854s,1641512160.998390736s,0.001270s,-0.001139s,0.000065s,0.001205s
1641512160.998600377s,1641512160.999949211s,1641512161.000089467s,1641512160.998923613s,0.001349s,-0.001166s,0.000091s,0.001257s
1641512160.999130701s,1641512161.000489048s,1641512161.000662647s,1641512160.999554148s,0.001358s,-0.001108s,0.000125s,0.001233s
1641512160.999762591s,1641512161.001107701s,1641512161.001250420s,1641512161.000081608s,0.001345s,-0.001169s,0.000088s,0.001257s
1641512161.000291509s,1641512161.001640850s,1641512161.001783665s,1641512161.000615006s,0.001349s,-0.001168s,0.000090s,0.001259s
1641512161.000827042s,1641512161.002176783s,1641512161.002316366s,1641512161.001146060s,0.001350s,-0.001170s,0.000090s,0.001260s
1641512161.001356690s,1641512161.002705676s,1641512161.002846443s,1641512161.001686229s,0.001349s,-0.001160s,0.000094s,0.001255s
1641512161.001893213s,1641512161.003244745s,1641512161.003383336s,1641512161.002214522s,0.001351s,-0.001169s,0.000091s,0.001260s
1641512161.002424423s,1641512161.003721063s,1641512161.003932037s,1641512161.002747243s,0.001297s,-0.001185s,0.000056s,0.001241s
1641512161.002951726s,1641512161.004301603s,1641512161.004442563s,1641512161.003275588s,0.001350s,-0.001167s,0.000092s,0.001258s
1641512161.003485541s,1641512161.004761825s,1641512161.004971968s,1641512161.003809507s,0.001276s,-0.001163s,0.000057s,0.001220s
1641512161.004016438s,1641512161.005365598s,1641512161.005508413s,1641512161.004338060s,0.001349s,-0.001170s,0.000089s,0.001260s
1641512161.004547180s,1641512161.005897787s,1641512161.006038746s,1641512161.004892865s,0.001351s,-0.001146s,0.000102s,0.001248s
1641512161.005103338s,1641512161.006449528s,1641512161.006589911s,1641512161.005423241s,0.001346s,-0.001167s,0.000090s,0.001256s
1641512161.005633975s,1641512161.006984245s,1641512161.007123220s,1641512161.005957472s,0.001350s,-0.001166s,0.000092s,0.001258s
1641512161.006165238s,1641512161.007516754s,1641512161.007657073s,1641512161.006477328s,0.001352s,-0.001180s,0.000086s,0.001266s
1641512161.006686864s,1641512161.008036559s,1641512161.008175950s,1641512161.007010934s,0.001350s,-0.001165s,0.000092s,0.001257s
1641512161.007216460s,1641512161.008566124s,1641512161.008770347s,1641512161.007644126s,0.001350s,-0.001126s,0.000112s,0.001238s
1641512161.007854078s,1641512161.009202857s,1641512161.009345640s,1641512161.008159398s,0.001349s,-0.001186s,0.000081s,0.001268s
1641512161.008355652s,1641512161.009705062s,1641512161.009849253s,1641512161.008697014s,0.001349s,-0.001152s,0.000099s,0.001251s
1641512161.008924884s,1641512161.010275139s,1641512161.010414978s,1641512161.009232131s,0.001350s,-0.001183s,0.000084s,0.001267s
1641512161.009422239s,1641512161.010714368s,1641512161.010866336s,1641512161.009675318s,0.001292s,-0.001191s,0.000050s,0.001242s
1641512161.009851624s,1641512161.011130142s,1641512161.011326045s,1641512161.010195226s,0.001278s,-0.001131s,0.000074s,0.001205s
1641512161.010389137s,1641512161.011669051s,1641512161.011853594s,1641512161.010725238s,0.001280s,-0.001128s,0.000076s,0.001204s
1641512161.010924305s,1641512161.012195192s,1641512161.012376119s,1641512161.011259209s,0.001271s,-0.001117s,0.000077s,0.001194s
1641512161.011483016s,1641512161.012841621s,1641512161.012981492s,1641512161.011884067s,0.001359s,-0.001097s,0.000131s,0.001228s
1641512161.012111364s,1641512161.013461617s,1641512161.013602769s,1641512161.012422881s,0.001350s,-0.001180s,0.000085s,0.001265s
1641512161.012661220s,1641512161.014011726s,1641512161.014154766s,1641512161.013050864s,0.001350s,-0.001104s,0.000123s,0.001227s
1641512161.013278370s,1641512161.014627435s,1641512161.014768010s,1641512161.013597752s,0.001349s,-0.001170s,0.000089s,0.001260s
1641512161.013753328s,1641512161.015050345s,1641512161.015197096s,1641512161.014019220s,0.001297s,-0.001178s,0.000060s,0.001237s
1641512161.014209693s,1641512161.015502182s,1641512161.015656069s,1641512161.014547149s,0.001292s,-0.001109s,0.000092s,0.001201s
1641512161.014744289s,1641512161.016023779s,1641512161.016213954s,1641512161.015082161s,0.001280s,-0.001132s,0.000074s,0.001206s
1641512161.015283728s,1641512161.016635264s,1641512161.016784351s,1641512161.015596339s,0.001351s,-0.001188s,0.000082s,0.001270s
1641512161.015817230s,1641512161.017166685s,1641512161.017308188s,1641512161.016132914s,0.001349s,-0.001175s,0.000087s,0.001262s
1641512161.016359638s,1641512161.017708346s,1641512161.017853465s,1641512161.016680323s,0.001349s,-0.001173s,0.000088s,0.001261s
1641512161.016909026s,1641512161.018259191s,1641512161.018399702s,1641512161.017228669s,0.001350s,-0.001171s,0.000090s,0.001261s
1641512161.017499144s,1641512161.018843956s,1641512161.018984787s,1641512161.017830453s,0.001345s,-0.001154s,0.000095s,0.001250s
1641512161.017988738s,1641512161.019285489s,1641512161.019430705s,1641512161.018260723s,0.001297s,-0.001170s,0.000063s,0.001233s
1641512161.018445467s,1641512161.019721167s,1641512161.019911022s,1641512161.018773496s,0.001276s,-0.001137s,0.000069s,0.001207s
1641512161.019028293s,1641512161.020378764s,1641512161.020546411s,1641512161.019438303s,0.001351s,-0.001108s,0.000121s,0.001229s
1641512161.019756070s,1641512161.021058696s,1641512161.021179623s,1641512161.020010191s,0.001303s,-0.001169s,0.000067s,0.001236s
1641512161.020196445s,1641512161.021475366s,1641512161.021666660s,1641512161.020527703s,0.001279s,-0.001139s,0.000070s,0.001209s
1641512161.020784427s,1641512161.022133762s,1641512161.022275009s,1641512161.021095736s,0.001349s,-0.001179s,0.000085s,0.001264s
1641512161.021252355s,1641512161.022548704s,1641512161.022698783s,1641512161.021517309s,0.001296s,-0.001182s,0.000057s,0.001239s
1641512161.021706584s,1641512161.022980669s,1641512161.023167324s,1641512161.022037946s,0.001274s,-0.001129s,0.000072s,0.001202s
1641512161.022234981s,1641512161.023516666s,1641512161.023702425s,1641512161.022565562s,0.001282s,-0.001137s,0.000072s,0.001209s
1641512161.022765931s,1641512161.024034039s,1641512161.024231958s,1641512161.023085990s,0.001268s,-0.001146s,0.000061s,0.001207s
1641512161.023239588s,1641512161.024536437s,1641512161.024750964s,1641512161.023621471s,0.001297s,-0.001129s,0.000084s,0.001213s
1641512161.023821789s,1641512161.025093554s,1641512161.025312625s,1641512161.024131952s,0.001272s,-0.001181s,0.000046s,0.001226s
1641512161.024325811s,1641512161.025607631s,1641512161.025792558s,1641512161.024662797s,0.001282s,-0.001130s,0.000076s,0.001206s
1641512161.024910147s,1641512161.026255883s,1641512161.026394731s,1641512161.025227394s,0.001346s,-0.001168s,0.000089s,0.001257s
1641512161.025453336s,1641512161.026802568s,1641512161.026944168s,1641512161.025788709s,0.001349s,-0.001155s,0.000097s,0.001252s
1641512161.025974390s,1641512161.027248710s,1641512161.027441317s,1641512161.026302158s,0.001274s,-0.001139s,0.000068s,0.001207s
1641512161.026506486s,1641512161.027777123s,1641512161.027974690s,1641512161.026830920s,0.001271s,-0.001144s,0.000064s,0.001207s
1641512161.027043060s,1641512161.028312832s,1641512161.028509823s,1641512161.027356818s,0.001270s,-0.001153s,0.000058s,0.001211s
1641512161.027562395s,1641512161.028836829s,1641512161.029024924s,1641512161.027890997s,0.001274s,-0.001134s,0.000070s,0.001204s
1641512161.028102772s,1641512161.029401914s,1641512161.029524089s,1641512161.028421842s,0.001299s,-0.001102s,0.000098s,0.001201s
1641512161.028656066s,1641512161.030004823s,1641512161.030147126s,1641512161.028956594s,0.001349s,-0.001190s,0.000079s,0.001270s
1641512161.029166026s,1641512161.030523828s,1641512161.030664179s,1641512161.029472179s,0.001358s,-0.001192s,0.000083s,0.001275s
1641512161.029680308s,1641512161.031029297s,1641512161.031169360s,1641512161.030004743s,0.001349s,-0.001165s,0.000092s,0.001257s
1641512161.030214123s,1641512161.031563214s,1641512161.031707598s,1641512161.030533557s,0.001349s,-0.001174s,0.000088s,0.001262s
1641512161.030741531s,1641512161.032012556s,1641512161.032205323s,1641512161.031060653s,0.001271s,-0.001145s,0.000063s,0.001208s
1641512161.031267011s,1641512161.032535817s,1641512161.032736776s,1641512161.031600196s,0.001269s,-0.001137s,0.000066s,0.001203s
1641512161.031808274s,1641512161.033078118s,1641512161.033275685s,1641512161.032136354s,0.001270s,-0.001139s,0.000065s,0.001204s
1641512161.032344640s,1641512161.033694211s,1641512161.033834114s,1641512161.032669492s,0.001350s,-0.001165s,0.000093s,0.001257s
1641512161.032875955s,1641512161.034142784s,1641512161.034341855s,1641512161.033194660s,0.001267s,-0.001147s,0.000060s,0.001207s
1641512161.033403206s,1641512161.034752381s,1641512161.034894588s,1641512161.033742537s,0.001349s,-0.001152s,0.000098s,0.001251s
1641512161.033949469s,1641512161.035300314s,1641512161.035441337s,1641512161.034272237s,0.001351s,-0.001169s,0.000091s,0.001260s
1641512161.034479377s,1641512161.035749559s,1641512161.035945878s,1641512161.034802874s,0.001270s,-0.001143s,0.000064s,0.001207s
1641512161.035011681s,1641512161.036282868s,1641512161.036483443s,1641512161.035348407s,0.001271s,-0.001135s,0.000068s,0.001203s
1641512161.035558152s,1641512161.036829585s,1641512161.037022864s,1641512161.035868471s,0.001271s,-0.001154s,0.000058s,0.001213s
1641512161.036077695s,1641512161.037347887s,1641512161.037582285s,1641512161.036401192s,0.001270s,-0.001181s,0.000044s,0.001226s
1641512161.036607551s,1641512161.037876876s,1641512161.038162698s,1641512161.037055894s,0.001269s,-0.001107s,0.000081s,0.001188s
1641512161.037264805s,1641512161.038534088s,1641512161.038736167s,1641512161.037580646s,0.001269s,-0.001155s,0.000057s,0.001212s
1641512161.037791640s,1641512161.039140229s,1641512161.039280420s,1641512161.038122794s,0.001348s,-0.001158s,0.000095s,0.001253s
1641512161.038328371s,1641512161.039686466s,1641512161.039827265s,1641512161.038641712s,0.001358s,-0.001186s,0.000086s,0.001272s
1641512161.038852446s,1641512161.040201983s,1641512161.040344446s,1641512161.039167974s,0.001349s,-0.001177s,0.000086s,0.001263s
1641512161.039375166s,1641512161.040719772s,1641512161.040849180s,1641512161.039727466s,0.001345s,-0.001122s,0.000111s,0.001233s
1641512161.039937575s,1641512161.041287289s,1641512161.041429464s,1641512161.040258520s,0.001350s,-0.001171s,0.000089s,0.001260s
1641512161.040464358s,1641512161.041822582s,1641512161.041964693s,1641512161.040781657s,0.001358s,-0.001183s,0.000088s,0.001271s
1641512161.040992391s,1641512161.042258772s,1641512161.042453875s,1641512161.041311617s,0.001266s,-0.001142s,0.000062s,0.001204s
1641512161.041518861s,1641512161.042868464s,1641512161.043009392s,1641512161.041866317s,0.001349s,-0.001143s,0.000103s,0.001246s
1641512161.042067363s,1641512161.043346190s,1641512161.043535885s,1641512161.042363360s,0.001279s,-0.001173s,0.000053s,0.001226s
1641512161.042556281s,1641512161.043905195s,1641512161.044045962s,1641512161.042891757s,0.001349s,-0.001154s,0.000097s,0.001252s
1641512161.043118273s,1641512161.044471944s,1641512161.044612391s,1641512161.043486927s,0.001354s,-0.001126s,0.000114s,0.001240s
1641512161.043655212s,1641512161.044937285s,1641512161.045124900s,1641512161.044010689s,0.001282s,-0.001114s,0.000084s,0.001198s
1641512161.044206683s,1641512161.045485730s,1641512161.045676577s,1641512161.044526066s,0.001279s,-0.001150s,0.000064s,0.001215s
1641512161.044753571s,1641512161.046102879s,1641512161.046242334s,1641512161.045092224s,0.001349s,-0.001150s,0.000100s,0.001250s
1641512161.045318219s,1641512161.046596572s,1641512161.046786363s,1641512161.045628331s,0.001278s,-0.001158s,0.000060s,0.001218s
1641512161.045853440s,1641512161.047203801s,1641512161.047342616s,1641512161.046166051s,0.001350s,-0.001177s,0.000087s,0.001263s
1641512161.046390900s,1641512161.047739798s,1641512161.047879381s,1641512161.046709449s,0.001349s,-0.001170s,0.000089s,0.001259s
1641512161.046935027s,1641512161.048285107s,1641512161.048426034s,1641512161.047253785s,0.001350s,-0.001172s,0.000089s,0.001261s
1641512161.047482071s,1641512161.048830736s,1641512161.048973711s,1641512161.047805985s,0.001349s,-0.001168s,0.000090s,0.001258s
1641512161.048031094s,1641512161.049380109s,1641512161.049520460s,1641512161.048350893s,0.001349s,-0.001170s,0.000090s,0.001259s
1641512161.048579596s,1641512161.049929226s,1641512161.050071497s,1641512161.048909708s,0.001349s,-0.001162s,0.000094s,0.001256s
1641512161.049132942s,1641512161.050481543s,1641512161.050626150s,1641512161.049449147s,0.001349s,-0.001177s,0.000086s,0.001263s
1641512161.049679830s,1641512161.051024996s,1641512161.051166627s,1641512161.050042755s,0.001345s,-0.001124s,0.000111s,0.001234s
1641512161.050268437s,1641512161.051619809s,1641512161.051760960s,1641512161.050588288s,0.001351s,-0.001173s,0.000089s,0.001262s
1641512161.050744906s,1641512161.052042110s,1641512161.052189629s,1641512161.051009704s,0.001297s,-0.001180s,0.000059s,0.001238s
1641512161.051195385s,1641512161.052544348s,1641512161.052743450s,1641512161.051638416s,0.001349s,-0.001105s,0.000122s,0.001227s
1641512161.051902641s,1641512161.053252376s,1641512161.053393719s,1641512161.052286140s,0.001350s,-0.001107s,0.000121s,0.001229s
1641512161.052564219s,1641512161.053845940s,1641512161.053994932s,1641512161.052844173s,0.001282s,-0.001151s,0.000066s,0.001216s
1641512161.053004958s,1641512161.054296050s,1641512161.054442193s,1641512161.053273662s,0.001291s,-0.001168s,0.000061s,0.001230s
1641512161.053473563s,1641512161.054742639s,1641512161.054975150s,1641512161.053815341s,0.001269s,-0.001160s,0.000055s,0.001214s
1641512161.054021440s,1641512161.055290732s,1641512161.055443116s,1641512161.054327020s,0.001269s,-0.001116s,0.000077s,0.001193s
1641512161.054533847s,1641512161.055883465s,1641512161.056023944s,1641512161.054870730s,0.001349s,-0.001153s,0.000098s,0.001251s
1641512161.055076099s,1641512161.056350311s,1641512161.056541606s,1641512161.055408242s,0.001274s,-0.001133s,0.000070s,0.001204s
1641512161.055614966s,1641512161.056887524s,1641512161.057076483s,1641512161.055938359s,0.001273s,-0.001138s,0.000067s,0.001205s
1641512161.056148207s,1641512161.057497504s,1641512161.057642368s,1641512161.056458631s,0.001349s,-0.001184s,0.000083s,0.001266s
1641512161.056669469s,1641512161.058019934s,1641512161.058160509s,1641512161.057007706s,0.001350s,-0.001153s,0.000099s,0.001252s
1641512161.057215107s,1641512161.058484731s,1641512161.058682778s,1641512161.057519593s,0.001270s,-0.001163s,0.000053s,0.001216s
1641512161.057725066s,1641512161.059075064s,1641512161.059214935s,1641512161.058064710s,0.001350s,-0.001150s,0.000100s,0.001250s
1641512161.058272214s,1641512161.059540853s,1641512161.059741364s,1641512161.058604410s,0.001269s,-0.001137s,0.000066s,0.001203s
1641512161.058812591s,1641512161.060162290s,1641512161.060302065s,1641512161.059127286s,0.001350s,-0.001175s,0.000087s,0.001262s
1641512161.059334895s,1641512161.060684591s,1641512161.060807438s,1641512161.059661778s,0.001350s,-0.001146s,0.000102s,0.001248s
1641512161.059867772s,1641512161.061216748s,1641512161.061359691s,1641512161.060188404s,0.001349s,-0.001171s,0.000089s,0.001260s
1641512161.060394711s,1641512161.061752361s,1641512161.061894344s,1641512161.060702687s,0.001358s,-0.001192s,0.000083s,0.001275s
1641512161.060915556s,1641512161.062268678s,1641512161.062412646s,1641512161.061312128s,0.001353s,-0.001101s,0.000126s,0.001227s
1641512161.061521247s,1641512161.062871139s,1641512161.063011938s,1641512161.061854172s,0.001350s,-0.001158s,0.000096s,0.001254s
1641512161.062066989s,1641512161.063417056s,1641512161.063556543s,1641512161.062385746s,0.001350s,-0.001171s,0.000090s,0.001260s
1641512161.062593095s,1641512161.063863454s,1641512161.064044061s,1641512161.062907373s,0.001271s,-0.001137s,0.000067s,0.001204s
1641512161.063119305s,1641512161.064470138s,1641512161.064615417s,1641512161.063427906s,0.001351s,-0.001188s,0.000082s,0.001269s
1641512161.063638431s,1641512161.064988439s,1641512161.065130679s,1641512161.063951876s,0.001350s,-0.001179s,0.000086s,0.001264s
1641512161.064161829s,1641512161.065512085s,1641512161.065653236s,1641512161.064468086s,0.001350s,-0.001185s,0.000083s,0.001268s
1641512161.064679705s,1641512161.066033042s,1641512161.066173265s,1641512161.065075391s,0.001354s,-0.001098s,0.000128s,0.001226s
1641512161.065284354s,1641512161.066630158s,1641512161.066773678s,1641512161.065610664s,0.001346s,-0.001163s,0.000091s,0.001254s
1641512161.065815148s,1641512161.067086860s,1641512161.067294987s,1641512161.066138541s,0.001272s,-0.001157s,0.000058s,0.001214s
1641512161.066344848s,1641512161.067696361s,1641512161.067835080s,1641512161.066666938s,0.001352s,-0.001168s,0.000092s,0.001260s
1641512161.066877047s,1641512161.068226278s,1641512161.068367685s,1641512161.067197523s,0.001349s,-0.001170s,0.000090s,0.001260s
1641512161.067405289s,1641512161.068754435s,1641512161.068894434s,1641512161.067727588s,0.001349s,-0.001167s,0.000091s,0.001258s
1641512161.067933790s,1641512161.069283840s,1641512161.069424479s,1641512161.068256506s,0.001350s,-0.001168s,0.000091s,0.001259s
1641512161.068464948s,1641512161.069814813s,1641512161.069956252s,1641512161.068795789s,0.001350s,-0.001161s,0.000095s,0.001255s
1641512161.069003242s,1641512161.070353050s,1641512161.070492825s,1641512161.069329864s,0.001350s,-0.001163s,0.000093s,0.001256s
1641512161.069539765s,1641512161.070890903s,1641512161.071031606s,1641512161.069885658s,0.001351s,-0.001146s,0.000103s,0.001248s
1641512161.070090194s,1641512161.071439668s,1641512161.071583987s,1641512161.070407389s,0.001349s,-0.001177s,0.000086s,0.001263s
1641512161.070618591s,1641512161.071967313s,1641512161.072119280s,1641512161.070927713s,0.001349s,-0.001192s,0.000079s,0.001270s
1641512161.071135843s,1641512161.072440655s,1641512161.072591374s,1641512161.071420641s,0.001305s,-0.001171s,0.000067s,0.001238s
1641512161.071631583s,1641512161.072985260s,1641512161.073127819s,1641512161.072034405s,0.001354s,-0.001093s,0.000130s,0.001223s
1641512161.072242535s,1641512161.073512361s,1641512161.073709736s,1641512161.072575720s,0.001270s,-0.001134s,0.000068s,0.001202s
1641512161.072803537s,1641512161.074095238s,1641512161.074244741s,1641512161.073081356s,0.001292s,-0.001163s,0.000064s,0.001228s
1641512161.073275319s,1641512161.074545027s,1641512161.074739650s,1641512161.073610483s,0.001270s,-0.001129s,0.000070s,0.001199s
1641512161.073834082s,1641512161.075184608s,1641512161.075324223s,1641512161.074160079s,0.001350s,-0.001164s,0.000093s,0.001257s
1641512161.074384303s,1641512161.075733277s,1641512161.075872988s,1641512161.074704206s,0.001349s,-0.001169s,0.000090s,0.001259s
