T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,ptp,quic
1641990854.094942036s,1641990854.085220203s,1641990854.085236542s,1641990854.095687655s,-0.009722s,0.010451s,0.000365s,-0.010087,-0.006967797
1641990854.095687655s,1641990854.085929166s,1641990854.085956160s,1641990854.096407174s,-0.009758s,0.010451s,0.000346s,-0.010105,-0.006985735
1641990854.096407174s,1641990854.086657575s,1641990854.086685398s,1641990854.097136914s,-0.009750s,0.010452s,0.000351s,-0.010101,-0.006992502
1641990854.097136914s,1641990854.087371777s,1641990854.087400574s,1641990854.097863221s,-0.009765s,0.010463s,0.000349s,-0.010114,-0.006998689
1641990854.097863221s,1641990854.088266540s,1641990854.088302981s,1641990854.100880447s,-0.009597s,0.012577s,0.001490s,-0.011087,-0.007004796
1641990854.100880447s,1641990854.091160094s,1641990854.091183639s,1641990854.101612565s,-0.009720s,0.010429s,0.000354s,-0.010075,-0.006974245
1641990854.101612565s,1641990854.091857579s,1641990854.091885017s,1641990854.102437149s,-0.009755s,0.010552s,0.000399s,-0.010154,-0.006983935
1641990854.102437149s,1641990854.092705866s,1641990854.092732577s,1641990854.103183389s,-0.009731s,0.010451s,0.000360s,-0.010091,-0.00694416
1641990854.103183389s,1641990854.093451465s,1641990854.093479134s,1641990854.103936458s,-0.009732s,0.010457s,0.000363s,-0.010095,-0.006958828
1641990854.103936458s,1641990854.094208051s,1641990854.094235196s,1641990854.104701825s,-0.009728s,0.010467s,0.000369s,-0.010098,-0.006966126
1641990854.104701825s,1641990854.094847841s,1641990854.094879575s,1641990854.105398479s,-0.009854s,0.010519s,0.000332s,-0.010186,-0.006962664
1641990854.105398479s,1641990854.095665378s,1641990854.095693296s,1641990854.106140514s,-0.009733s,0.010447s,0.000357s,-0.01009,-0.006951946
1641990854.106140514s,1641990854.096399914s,1641990854.096436093s,1641990854.106963905s,-0.009741s,0.010528s,0.000394s,-0.010134,-0.006959683
1641990854.106963905s,1641990854.097236612s,1641990854.097262071s,1641990854.107708157s,-0.009727s,0.010446s,0.000359s,-0.010087,-0.006968292
1641990854.107708157s,1641990854.097968694s,1641990854.097995460s,1641990854.108426991s,-0.009740s,0.010432s,0.000346s,-0.010086,-0.006932125
1641990854.108426991s,1641990854.098677419s,1641990854.098702942s,1641990854.109157640s,-0.009750s,0.010455s,0.000353s,-0.010102,-0.006901227
1641990854.109157640s,1641990854.099412773s,1641990854.099438809s,1641990854.109896644s,-0.009745s,0.010458s,0.000356s,-0.010101,-0.006906176
1641990854.109896644s,1641990854.100170556s,1641990854.100197620s,1641990854.112979045s,-0.009726s,0.012781s,0.001528s,-0.011254,-0.006894984
1641990854.112979045s,1641990854.103267162s,1641990854.103288156s,1641990854.114734207s,-0.009712s,0.011446s,0.000867s,-0.010579,-0.006908034
1641990854.114734207s,1641990854.105064204s,1641990854.105080414s,1641990854.115545949s,-0.009670s,0.010466s,0.000398s,-0.010068,-0.006875532
1641990854.115545949s,1641990854.105807833s,1641990854.105832422s,1641990854.116318595s,-0.009738s,0.010486s,0.000374s,-0.010112,-0.006882864
1641990854.116318595s,1641990854.106553931s,1641990854.106596935s,1641990854.117084557s,-0.009765s,0.010488s,0.000361s,-0.010126,-0.006874628
1641990854.117084557s,1641990854.107350925s,1641990854.107377726s,1641990854.117843086s,-0.009734s,0.010465s,0.000366s,-0.0101,-0.006884584
1641990854.117843086s,1641990854.108091896s,1641990854.108117691s,1641990854.118554562s,-0.009751s,0.010437s,0.000343s,-0.010094,-0.006892547
1641990854.118554562s,1641990854.108811729s,1641990854.108831738s,1641990854.119302906s,-0.009743s,0.010471s,0.000364s,-0.010107,-0.006900003
1641990854.119302906s,1641990854.109515313s,1641990854.109554698s,1641990854.120078071s,-0.009788s,0.010523s,0.000368s,-0.010155,-0.006907051
1641990854.120078071s,1641990854.110329128s,1641990854.110357727s,1641990854.120971450s,-0.009749s,0.010614s,0.000432s,-0.010181,-0.006915752
1641990854.120971450s,1641990854.111231011s,1641990854.111256444s,1641990854.121795271s,-0.009740s,0.010539s,0.000399s,-0.01014,-0.006882063
1641990854.121795271s,1641990854.112025277s,1641990854.112050333s,1641990854.122563958s,-0.009770s,0.010514s,0.000372s,-0.010142,-0.006909144
1641990854.122563958s,1641990854.112800732s,1641990854.112830460s,1641990854.123336584s,-0.009763s,0.010506s,0.000372s,-0.010135,-0.00691721
1641990854.123336584s,1641990854.113613365s,1641990854.113615171s,1641990854.124052108s,-0.009723s,0.010437s,0.000357s,-0.01008,-0.006936153
1641990854.124052108s,1641990854.114328840s,1641990854.114330650s,1641990854.124899305s,-0.009723s,0.010569s,0.000423s,-0.010146,-0.006940983
1641990854.124899305s,1641990854.115152150s,1641990854.115170269s,1641990854.125708312s,-0.009747s,0.010538s,0.000395s,-0.010143,-0.006931359
1641990854.125708312s,1641990854.115980197s,1641990854.116005295s,1641990854.126498955s,-0.009728s,0.010494s,0.000383s,-0.010111,-0.006939043
1641990854.126498955s,1641990854.116770083s,1641990854.116802624s,1641990854.127690576s,-0.009729s,0.010888s,0.000579s,-0.010308,-0.006912284
1641990854.127690576s,1641990854.117909932s,1641990854.117936825s,1641990854.130165930s,-0.009781s,0.012229s,0.001224s,-0.011005,-0.006918545
1641990854.130165930s,1641990854.120390578s,1641990854.120409890s,1641990854.132063057s,-0.009775s,0.011653s,0.000939s,-0.010714,-0.006921024
1641990854.132063057s,1641990854.122301482s,1641990854.122322442s,1641990854.133807789s,-0.009762s,0.011485s,0.000862s,-0.010623,-0.006927462
1641990854.133807789s,1641990854.124066341s,1641990854.124085710s,1641990854.135519370s,-0.009742s,0.011434s,0.000846s,-0.010588,-0.006922491
1641990854.135519370s,1641990854.125804065s,1641990854.125814434s,1641990854.137547562s,-0.009715s,0.011733s,0.001009s,-0.010724,-0.006899685
1641990854.137547562s,1641990854.127796139s,1641990854.127819225s,1641990854.138393660s,-0.009751s,0.010574s,0.000412s,-0.010163,-0.006906135
1641990854.138393660s,1641990854.128621581s,1641990854.128639866s,1641990854.140541286s,-0.009772s,0.011901s,0.001065s,-0.010837,-0.006894874
1641990854.140541286s,1641990854.130842713s,1641990854.130865105s,1641990854.141430121s,-0.009699s,0.010565s,0.000433s,-0.010132,-0.006906037
1641990854.141430121s,1641990854.131705120s,1641990854.131723963s,1641990854.142237361s,-0.009725s,0.010514s,0.000394s,-0.010119,-0.006884152
1641990854.142237361s,1641990854.132477344s,1641990854.132516998s,1641990854.143236377s,-0.009760s,0.010719s,0.000480s,-0.01024,-0.006888402
1641990854.143236377s,1641990854.133548247s,1641990854.133590693s,1641990854.144051212s,-0.009688s,0.010461s,0.000386s,-0.010074,-0.006892329
1641990854.144051212s,1641990854.134302416s,1641990854.134312664s,1641990854.144753711s,-0.009749s,0.010441s,0.000346s,-0.010095,-0.006897388
1641990854.144753711s,1641990854.135008967s,1641990854.135038445s,1641990854.145495877s,-0.009745s,0.010458s,0.000356s,-0.010101,-0.006884599
1641990854.145495877s,1641990854.135809597s,1641990854.135819681s,1641990854.146251501s,-0.009686s,0.010432s,0.000373s,-0.010059,-0.006888553
1641990854.146251501s,1641990854.136561863s,1641990854.136578083s,1641990854.147025933s,-0.009690s,0.010448s,0.000379s,-0.010069,-0.006892555
1641990854.147025933s,1641990854.137288193s,1641990854.137331550s,1641990854.147795833s,-0.009738s,0.010464s,0.000363s,-0.010101,-0.006898617
1641990854.147795833s,1641990854.138058292s,1641990854.138078523s,1641990854.148528076s,-0.009738s,0.010450s,0.000356s,-0.010094,-0.00690324
1641990854.148528076s,1641990854.138855327s,1641990854.138878940s,1641990854.149498085s,-0.009673s,0.010619s,0.000473s,-0.010146,-0.006906883
1641990854.149498085s,1641990854.139799118s,1641990854.139819314s,1641990854.150304969s,-0.009699s,0.010486s,0.000393s,-0.010092,-0.006913195
1641990854.150304969s,1641990854.140562410s,1641990854.140584845s,1641990854.151040654s,-0.009743s,0.010456s,0.000356s,-0.010099,-0.006907892
1641990854.151040654s,1641990854.141396737s,1641990854.141456261s,1641990854.155266678s,-0.009644s,0.013810s,0.002083s,-0.011727,-0.006910774
1641990854.155266678s,1641990854.145439614s,1641990854.145474351s,1641990854.155977244s,-0.009827s,0.010503s,0.000338s,-0.010165,-0.006922693
1641990854.155977244s,1641990854.146245085s,1641990854.146275442s,1641990854.156717959s,-0.009732s,0.010442s,0.000355s,-0.010087,-0.006929265
1641990854.156717959s,1641990854.146987394s,1641990854.147009629s,1641990854.157480683s,-0.009731s,0.010471s,0.000370s,-0.010101,-0.006934416
1641990854.157480683s,1641990854.147735829s,1641990854.147756391s,1641990854.158222729s,-0.009745s,0.010466s,0.000361s,-0.010106,-0.006938281
1641990854.158222729s,1641990854.148465883s,1641990854.148488388s,1641990854.158966308s,-0.009757s,0.010478s,0.000361s,-0.010117,-0.006926657
1641990854.158966308s,1641990854.149239019s,1641990854.149262720s,1641990854.159923021s,-0.009727s,0.010660s,0.000467s,-0.010194,-0.006932635
1641990854.159923021s,1641990854.152048983s,1641990854.152071913s,1641990854.162634580s,-0.007874s,0.010563s,0.001344s,-0.009218,-0.006930132
