T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,OFF_S
1641515165.381521496s,1641515165.392471212s,1641515165.392612715s,1641515165.381898900s,0.010950s,-0.010714s,0.000118s,0.010832s
1641515165.382206303s,1641515165.393151817s,1641515165.393295720s,1641515165.382575739s,0.010946s,-0.010720s,0.000113s,0.010833s
1641515165.382859079s,1641515165.393746790s,1641515165.394015397s,1641515165.383306850s,0.010888s,-0.010709s,0.000090s,0.010798s
1641515165.383591700s,1641515165.394541059s,1641515165.394682467s,1641515165.383926135s,0.010949s,-0.010756s,0.000097s,0.010853s
1641515165.384253330s,1641515165.395200128s,1641515165.395462687s,1641515165.384745269s,0.010947s,-0.010717s,0.000115s,0.010832s
1641515165.385060381s,1641515165.396009085s,1641515165.396155612s,1641515165.385407524s,0.010949s,-0.010748s,0.000100s,0.010848s
1641515165.385733261s,1641515165.396683354s,1641515165.396840250s,1641515165.386099519s,0.010950s,-0.010741s,0.000105s,0.010845s
1641515165.386479372s,1641515165.397424439s,1641515165.397570806s,1641515165.386863079s,0.010945s,-0.010708s,0.000119s,0.010826s
1641515165.387144544s,1641515165.398094836s,1641515165.398224020s,1641515165.387502782s,0.010950s,-0.010721s,0.000114s,0.010836s
1641515165.387837060s,1641515165.398788049s,1641515165.398934897s,1641515165.388185141s,0.010951s,-0.010750s,0.000100s,0.010850s
1641515165.388588067s,1641515165.399533326s,1641515165.399825133s,1641515165.389040786s,0.010945s,-0.010784s,0.000080s,0.010865s
1641515165.389291625s,1641515165.400241259s,1641515165.400386187s,1641515165.389687260s,0.010950s,-0.010699s,0.000126s,0.010824s
1641515165.389976017s,1641515165.400924872s,1641515165.401066024s,1641515165.390339410s,0.010949s,-0.010727s,0.000111s,0.010838s
1641515165.390603167s,1641515165.401548614s,1641515165.401692485s,1641515165.390963019s,0.010946s,-0.010729s,0.000108s,0.010837s
1641515165.391200472s,1641515165.402149955s,1641515165.402291939s,1641515165.391514490s,0.010949s,-0.010777s,0.000086s,0.010863s
1641515165.391819341s,1641515165.402765249s,1641515165.402914144s,1641515165.392159818s,0.010946s,-0.010754s,0.000096s,0.010850s
1641515165.392483367s,1641515165.403433822s,1641515165.403577565s,1641515165.392802645s,0.010950s,-0.010775s,0.000088s,0.010863s
1641515165.393086714s,1641515165.404032412s,1641515165.404173755s,1641515165.393438493s,0.010946s,-0.010735s,0.000105s,0.010841s
1641515165.393725323s,1641515165.404607833s,1641515165.404865624s,1641515165.394092363s,0.010882s,-0.010773s,0.000054s,0.010828s
1641515165.394360025s,1641515165.405304406s,1641515165.405446870s,1641515165.394703471s,0.010944s,-0.010743s,0.000100s,0.010844s
1641515165.395004416s,1641515165.405949875s,1641515165.406091699s,1641515165.395368122s,0.010945s,-0.010724s,0.000111s,0.010834s
1641515165.395705578s,1641515165.406665713s,1641515165.406806256s,1641515165.396035690s,0.010960s,-0.010771s,0.000095s,0.010865s
1641515165.396355333s,1641515165.407305582s,1641515165.407451885s,1641515165.396691903s,0.010950s,-0.010760s,0.000095s,0.010855s
1641515165.397033109s,1641515165.407985003s,1641515165.408129002s,1641515165.397431764s,0.010952s,-0.010697s,0.000127s,0.010824s
1641515165.397738438s,1641515165.408683400s,1641515165.408825959s,1641515165.398117041s,0.010945s,-0.010709s,0.000118s,0.010827s
1641515165.398510748s,1641515165.409460485s,1641515165.409601124s,1641515165.398886798s,0.010950s,-0.010715s,0.000118s,0.010832s
1641515165.399223316s,1641515165.410172162s,1641515165.410345505s,1641515165.399633847s,0.010949s,-0.010712s,0.000119s,0.010830s
1641515165.399998647s,1641515165.410944383s,1641515165.411191102s,1641515165.400453241s,0.010946s,-0.010738s,0.000104s,0.010842s
1641515165.400854032s,1641515165.411809531s,1641515165.412016506s,1641515165.401267218s,0.010955s,-0.010749s,0.000103s,0.010852s
1641515165.401468421s,1641515165.412418168s,1641515165.412618584s,1641515165.401885410s,0.010950s,-0.010733s,0.000108s,0.010841s
1641515165.402122395s,1641515165.413092982s,1641515165.413298549s,1641515165.402611417s,0.010971s,-0.010687s,0.000142s,0.010829s
1641515165.402849651s,1641515165.413843539s,1641515165.414055922s,1641515165.403336277s,0.010994s,-0.010720s,0.000137s,0.010857s
1641515165.403631441s,1641515165.414577359s,1641515165.414917070s,1641515165.404206662s,0.010946s,-0.010710s,0.000118s,0.010828s
1641515165.404456095s,1641515165.415428524s,1641515165.415619435s,1641515165.404933554s,0.010972s,-0.010686s,0.000143s,0.010829s
1641515165.405231530s,1641515165.416209737s,1641515165.416410024s,1641515165.405692843s,0.010978s,-0.010717s,0.000131s,0.010848s
1641515165.406056185s,1641515165.417064741s,1641515165.417269732s,1641515165.406561040s,0.011009s,-0.010709s,0.000150s,0.010859s
1641515165.406862193s,1641515165.417782946s,1641515165.418042945s,1641515165.407306422s,0.010921s,-0.010736s,0.000092s,0.010829s
1641515165.407644712s,1641515165.418603231s,1641515165.418751486s,1641515165.408032689s,0.010958s,-0.010719s,0.000120s,0.010839s
1641515165.408349207s,1641515165.419296348s,1641515165.419436603s,1641515165.408694111s,0.010947s,-0.010743s,0.000102s,0.010845s
1641515165.409000941s,1641515165.419950137s,1641515165.420090744s,1641515165.409324855s,0.010949s,-0.010766s,0.000092s,0.010858s
1641515165.409657571s,1641515165.420601910s,1641515165.420747350s,1641515165.409994246s,0.010944s,-0.010753s,0.000096s,0.010849s
1641515165.410276075s,1641515165.421225460s,1641515165.421367411s,1641515165.410576291s,0.010949s,-0.010791s,0.000079s,0.010870s
1641515165.410805671s,1641515165.421769105s,1641515165.421910865s,1641515165.411120366s,0.010963s,-0.010790s,0.000087s,0.010877s
1641515165.411427456s,1641515165.422376527s,1641515165.422523022s,1641515165.411784288s,0.010949s,-0.010739s,0.000105s,0.010844s
1641515165.412121119s,1641515165.423076748s,1641515165.423221835s,1641515165.412523159s,0.010956s,-0.010699s,0.000129s,0.010827s
1641515165.412861188s,1641515165.423806377s,1641515165.423951336s,1641515165.413165883s,0.010945s,-0.010786s,0.000080s,0.010865s
1641515165.413406305s,1641515165.424351303s,1641515165.424493446s,1641515165.413787095s,0.010945s,-0.010706s,0.000119s,0.010826s
1641515165.414101269s,1641515165.425045700s,1641515165.425188003s,1641515165.414453204s,0.010944s,-0.010735s,0.000105s,0.010840s
1641515165.414744670s,1641515165.425688577s,1641515165.425834400s,1641515165.415106136s,0.010944s,-0.010728s,0.000108s,0.010836s
1641515165.415418800s,1641515165.426380478s,1641515165.426527134s,1641515165.415748026s,0.010962s,-0.010779s,0.000091s,0.010870s
1641515165.416050950s,1641515165.426939708s,1641515165.427234267s,1641515165.416455387s,0.010889s,-0.010779s,0.000055s,0.010834s
1641515165.416820343s,1641515165.427696473s,1641515165.427907960s,1641515165.417189883s,0.010876s,-0.010718s,0.000079s,0.010797s
1641515165.417492703s,1641515165.428446134s,1641515165.428654677s,1641515165.417956620s,0.010953s,-0.010698s,0.000128s,0.010826s
1641515165.418283555s,1641515165.429282610s,1641515165.429508209s,1641515165.418796014s,0.010999s,-0.010712s,0.000144s,0.010856s
1641515165.419168159s,1641515165.430102831s,1641515165.430463501s,1641515165.419825153s,0.010935s,-0.010638s,0.000148s,0.010787s
1641515165.420139848s,1641515165.431079371s,1641515165.431312618s,1641515165.420647620s,0.010940s,-0.010665s,0.000137s,0.010802s
1641515165.420986743s,1641515165.432011719s,1641515165.432210534s,1641515165.421513318s,0.011025s,-0.010697s,0.000164s,0.010861s
1641515165.421835356s,1641515165.432842595s,1641515165.433011138s,1641515165.422361358s,0.011007s,-0.010650s,0.000179s,0.010828s
1641515165.422691262s,1641515165.433559008s,1641515165.433758463s,1641515165.423005123s,0.010868s,-0.010753s,0.000057s,0.010810s
1641515165.423280547s,1641515165.434225085s,1641515165.434420605s,1641515165.423656337s,0.010945s,-0.010764s,0.000090s,0.010854s
1641515165.423889728s,1641515165.434843163s,1641515165.434987194s,1641515165.424215829s,0.010953s,-0.010772s,0.000091s,0.010862s
1641515165.424519951s,1641515165.435471000s,1641515165.435733079s,1641515165.424981055s,0.010951s,-0.010752s,0.000100s,0.010852s
1641515165.425269760s,1641515165.436219093s,1641515165.436360756s,1641515165.425614976s,0.010949s,-0.010746s,0.000102s,0.010847s
1641515165.425913785s,1641515165.436864370s,1641515165.437007538s,1641515165.426241085s,0.010951s,-0.010766s,0.000092s,0.010858s
1641515165.426536456s,1641515165.437484816s,1641515165.437624271s,1641515165.426862349s,0.010948s,-0.010762s,0.000093s,0.010855s
1641515165.427141991s,1641515165.438090861s,1641515165.438231245s,1641515165.427509031s,0.010949s,-0.010722s,0.000113s,0.010836s
1641515165.427769923s,1641515165.438658379s,1641515165.438945098s,1641515165.428238996s,0.010889s,-0.010706s,0.000091s,0.010797s
1641515165.428566400s,1641515165.439522311s,1641515165.439724678s,1641515165.428962815s,0.010956s,-0.010762s,0.000097s,0.010859s
1641515165.429267770s,1641515165.440244548s,1641515165.440524547s,1641515165.429832106s,0.010977s,-0.010692s,0.000142s,0.010834s
1641515165.430123311s,1641515165.441113665s,1641515165.441324544s,1641515165.430688793s,0.010990s,-0.010636s,0.000177s,0.010813s
1641515165.430930934s,1641515165.441878109s,1641515165.442073949s,1641515165.431424748s,0.010947s,-0.010649s,0.000149s,0.010798s
1641515165.431674806s,1641515165.442640730s,1641515165.442834265s,1641515165.432174557s,0.010966s,-0.010660s,0.000153s,0.010813s
1641515165.432428678s,1641515165.443352215s,1641515165.443654774s,1641515165.432920512s,0.010924s,-0.010734s,0.000095s,0.010829s
1641515165.433175518s,1641515165.444107220s,1641515165.444366323s,1641515165.433699801s,0.010932s,-0.010666s,0.000133s,0.010799s
1641515165.433967620s,1641515165.444845521s,1641515165.445137744s,1641515165.434443516s,0.010878s,-0.010694s,0.000092s,0.010786s
1641515165.434753159s,1641515165.445703405s,1641515165.445847085s,1641515165.435131710s,0.010950s,-0.010715s,0.000118s,0.010833s
1641515165.435405622s,1641515165.446354603s,1641515165.446502954s,1641515165.435765787s,0.010949s,-0.010737s,0.000106s,0.010843s
1641515165.436056940s,1641515165.447002952s,1641515165.447144167s,1641515165.436395802s,0.010946s,-0.010748s,0.000099s,0.010847s
1641515165.436776123s,1641515165.447725285s,1641515165.447868580s,1641515165.437168580s,0.010949s,-0.010700s,0.000125s,0.010825s
1641515165.437451243s,1641515165.448401122s,1641515165.448543426s,1641515165.437770105s,0.010950s,-0.010773s,0.000088s,0.010862s
1641515165.438030944s,1641515165.448975904s,1641515165.449117247s,1641515165.438420537s,0.010945s,-0.010697s,0.000124s,0.010821s
1641515165.438713929s,1641515165.449658013s,1641515165.449914844s,1641515165.439166127s,0.010944s,-0.010749s,0.000098s,0.010846s
1641515165.439511708s,1641515165.450400538s,1641515165.450760376s,1641515165.440024272s,0.010889s,-0.010736s,0.000076s,0.010812s
1641515165.440345113s,1641515165.451296054s,1641515165.451505205s,1641515165.440767467s,0.010951s,-0.010738s,0.000107s,0.010844s
1641515165.441111329s,1641515165.452107507s,1641515165.452374258s,1641515165.441672592s,0.010996s,-0.010702s,0.000147s,0.010849s
1641515165.442003746s,1641515165.453002479s,1641515165.453233102s,1641515165.442522768s,0.010999s,-0.010710s,0.000144s,0.010854s
1641515165.442837515s,1641515165.453784556s,1641515165.454071595s,1641515165.443359559s,0.010947s,-0.010712s,0.000118s,0.010829s
1641515165.443686962s,1641515165.454610152s,1641515165.454885159s,1641515165.444197391s,0.010923s,-0.010688s,0.000118s,0.010805s
1641515165.444522242s,1641515165.455529252s,1641515165.455692772s,1641515165.445006733s,0.011007s,-0.010686s,0.000161s,0.010846s
1641515165.445318198s,1641515165.456325441s,1641515165.456467937s,1641515165.445755656s,0.011007s,-0.010712s,0.000148s,0.010860s
1641515165.446141134s,1641515165.457090046s,1641515165.457233501s,1641515165.446514059s,0.010949s,-0.010719s,0.000115s,0.010834s
1641515165.446766774s,1641515165.457711643s,1641515165.457852731s,1641515165.447070062s,0.010945s,-0.010783s,0.000081s,0.010864s
1641515165.447397674s,1641515165.458636855s,1641515165.458799383s,1641515165.448023418s,0.011239s,-0.010776s,0.000232s,0.011008s
1641515165.448348946s,1641515165.459299573s,1641515165.459439444s,1641515165.448692496s,0.010951s,-0.010747s,0.000102s,0.010849s
1641515165.449029118s,1641515165.459979730s,1641515165.460123185s,1641515165.449342199s,0.010951s,-0.010781s,0.000085s,0.010866s
1641515165.449664081s,1641515165.460609775s,1641515165.460750959s,1641515165.449970911s,0.010946s,-0.010780s,0.000083s,0.010863s
1641515165.450255605s,1641515165.461200653s,1641515165.461348268s,1641515165.450600249s,0.010945s,-0.010748s,0.000098s,0.010847s
1641515165.450934111s,1641515165.461884170s,1641515165.462025481s,1641515165.451271358s,0.010950s,-0.010754s,0.000098s,0.010852s
1641515165.451592303s,1641515165.462481479s,1641515165.462884838s,1641515165.452158931s,0.010889s,-0.010726s,0.000082s,0.010808s
1641515165.452483001s,1641515165.463437347s,1641515165.463642179s,1641515165.452926658s,0.010954s,-0.010715s,0.000119s,0.010835s
1641515165.453175570s,1641515165.464129665s,1641515165.464345568s,1641515165.453632455s,0.010954s,-0.010713s,0.000121s,0.010834s
1641515165.453922358s,1641515165.464908221s,1641515165.465119996s,1641515165.454462944s,0.010986s,-0.010657s,0.000164s,0.010821s
1641515165.454794306s,1641515165.465770266s,1641515165.466037049s,1641515165.455315359s,0.010976s,-0.010722s,0.000127s,0.010849s
1641515165.455649430s,1641515165.466582934s,1641515165.466855861s,1641515165.456180432s,0.010934s,-0.010675s,0.000129s,0.010805s
1641515165.456502835s,1641515165.467433811s,1641515165.467733201s,1641515165.457019618s,0.010931s,-0.010714s,0.000109s,0.010822s
1641515165.457350147s,1641515165.468361423s,1641515165.468564686s,1641515165.457864482s,0.011011s,-0.010700s,0.000155s,0.010856s
1641515165.458206729s,1641515165.469173803s,1641515165.469314763s,1641515165.458620437s,0.010967s,-0.010694s,0.000136s,0.010831s
1641515165.458941851s,1641515165.469887304s,1641515165.470031560s,1641515165.459287380s,0.010945s,-0.010744s,0.000101s,0.010845s
1641515165.459609106s,1641515165.470553446s,1641515165.470695845s,1641515165.459940364s,0.010944s,-0.010755s,0.000095s,0.010850s
1641515165.460273236s,1641515165.471222179s,1641515165.471370818s,1641515165.460587462s,0.010949s,-0.010783s,0.000083s,0.010866s
1641515165.460953096s,1641515165.471902400s,1641515165.472045183s,1641515165.461259509s,0.010949s,-0.010786s,0.000082s,0.010867s
1641515165.461563162s,1641515165.472512446s,1641515165.472768444s,1641515165.462003485s,0.010949s,-0.010765s,0.000092s,0.010857s
1641515165.462325055s,1641515165.473269978s,1641515165.473411802s,1641515165.462683969s,0.010945s,-0.010728s,0.000108s,0.010836s
1641515165.463002414s,1641515165.473947448s,1641515165.474091351s,1641515165.463339922s,0.010945s,-0.010751s,0.000097s,0.010848s
1641515165.463679305s,1641515165.474574517s,1641515165.474858708s,1641515165.464106399s,0.010895s,-0.010752s,0.000071s,0.010824s
1641515165.464451198s,1641515165.475404593s,1641515165.475545937s,1641515165.464761570s,0.010953s,-0.010784s,0.000084s,0.010869s
1641515165.465044494s,1641515165.475995535s,1641515165.476135982s,1641515165.465405648s,0.010951s,-0.010730s,0.000110s,0.010841s
1641515165.465768052s,1641515165.476717996s,1641515165.476968619s,1641515165.466255668s,0.010950s,-0.010713s,0.000118s,0.010831s
1641515165.466517288s,1641515165.477462153s,1641515165.477602472s,1641515165.466871620s,0.010945s,-0.010731s,0.000107s,0.010838s
1641515165.467191106s,1641515165.478140582s,1641515165.478281413s,1641515165.467506687s,0.010949s,-0.010775s,0.000087s,0.010862s
1641515165.467838569s,1641515165.478783843s,1641515165.479055586s,1641515165.468272330s,0.010945s,-0.010783s,0.000081s,0.010864s
1641515165.468575149s,1641515165.479454657s,1641515165.479852671s,1641515165.469124485s,0.010880s,-0.010728s,0.000076s,0.010804s
1641515165.469449232s,1641515165.480404061s,1641515165.480631356s,1641515165.469918879s,0.010955s,-0.010712s,0.000121s,0.010834s
1641515165.470254199s,1641515165.481236345s,1641515165.481437240s,1641515165.470740460s,0.010982s,-0.010697s,0.000143s,0.010839s
1641515165.471051561s,1641515165.481981046s,1641515165.482271669s,1641515165.471596730s,0.010930s,-0.010675s,0.000127s,0.010802s
1641515165.471921217s,1641515165.482946354s,1641515165.483154289s,1641515165.472446854s,0.011025s,-0.010707s,0.000159s,0.010866s
1641515165.472799467s,1641515165.483809294s,1641515165.484013997s,1641515165.473319844s,0.011010s,-0.010694s,0.000158s,0.010852s
1641515165.473592923s,1641515165.484555467s,1641515165.484761162s,1641515165.474053663s,0.010962s,-0.010708s,0.000127s,0.010835s
1641515165.474402890s,1641515165.485366664s,1641515165.485508391s,1641515165.474796337s,0.010964s,-0.010712s,0.000126s,0.010838s
1641515165.475126709s,1641515165.486079365s,1641515165.486221700s,1641515165.475436508s,0.010953s,-0.010785s,0.000084s,0.010869s
1641515165.475771724s,1641515165.486660482s,1641515165.486950625s,1641515165.476209703s,0.010889s,-0.010741s,0.000074s,0.010815s
1641515165.476607577s,1641515165.487557887s,1641515165.487699806s,1641515165.476951074s,0.010950s,-0.010749s,0.000101s,0.010849s
1641515165.477216602s,1641515165.488165820s,1641515165.488307196s,1641515165.477580881s,0.010949s,-0.010726s,0.000111s,0.010838s
1641515165.477913389s,1641515165.488862009s,1641515165.489003225s,1641515165.478213760s,0.010949s,-0.010789s,0.000080s,0.010869s
1641515165.478445953s,1641515165.489399511s,1641515165.489541622s,1641515165.478822316s,0.010953s,-0.010719s,0.000117s,0.010836s
1641515165.479118313s,1641515165.490068116s,1641515165.490202132s,1641515165.479455560s,0.010950s,-0.010747s,0.000102s,0.010848s
1641515165.479744994s,1641515165.490693650s,1641515165.490837713s,1641515165.480112138s,0.010949s,-0.010726s,0.000111s,0.010837s
1641515165.480361050s,1641515165.491316687s,1641515165.491457838s,1641515165.480673505s,0.010956s,-0.010784s,0.000086s,0.010870s
1641515165.480993461s,1641515165.491954764s,1641515165.492166251s,1641515165.481442065s,0.010961s,-0.010724s,0.000118s,0.010843s
1641515165.481786136s,1641515165.492740681s,1641515165.492946216s,1641515165.482185416s,0.010954s,-0.010761s,0.000097s,0.010858s
1641515165.482508600s,1641515165.493447110s,1641515165.493786245s,1641515165.483145699s,0.010938s,-0.010641s,0.000149s,0.010790s
1641515165.483488311s,1641515165.494510658s,1641515165.494790944s,1641515165.484100252s,0.011022s,-0.010691s,0.000166s,0.010857s
1641515165.484426875s,1641515165.495355070s,1641515165.495747100s,1641515165.485066890s,0.010928s,-0.010680s,0.000124s,0.010804s
1641515165.485292416s,1641515165.496259162s,1641515165.496457114s,1641515165.485773833s,0.010967s,-0.010683s,0.000142s,0.010825s
1641515165.486008005s,1641515165.496950647s,1641515165.497214774s,1641515165.486527132s,0.010943s,-0.010688s,0.000128s,0.010815s
1641515165.486767086s,1641515165.497718580s,1641515165.497888820s,1641515165.487172824s,0.010952s,-0.010716s,0.000118s,0.010834s
1641515165.487488144s,1641515165.498455537s,1641515165.498605553s,1641515165.487820548s,0.010967s,-0.010785s,0.000091s,0.010876s
1641515165.488092950s,1641515165.498960623s,1641515165.499275918s,1641515165.488569472s,0.010868s,-0.010706s,0.000081s,0.010787s
1641515165.488866041s,1641515165.499813771s,1641515165.499960971s,1641515165.489209278s,0.010948s,-0.010752s,0.000098s,0.010850s
1641515165.489412356s,1641515165.500291530s,1641515165.500478249s,1641515165.489784292s,0.010879s,-0.010694s,0.000093s,0.010787s
1641515165.489975755s,1641515165.500854663s,1641515165.501041670s,1641515165.490296647s,0.010879s,-0.010745s,0.000067s,0.010812s
1641515165.490496965s,1641515165.501375845s,1641515165.501556292s,1641515165.490833691s,0.010879s,-0.010723s,0.000078s,0.010801s
1641515165.491023852s,1641515165.501901027s,1641515165.502092866s,1641515165.491351881s,0.010877s,-0.010741s,0.000068s,0.010809s
1641515165.491550479s,1641515165.502433313s,1641515165.502586048s,1641515165.491794860s,0.010883s,-0.010791s,0.000046s,0.010837s
1641515165.491993979s,1641515165.502873151s,1641515165.503059806s,1641515165.492336279s,0.010879s,-0.010724s,0.000078s,0.010801s
1641515165.492537012s,1641515165.503415356s,1641515165.503602908s,1641515165.492894365s,0.010878s,-0.010709s,0.000085s,0.010793s
1641515165.493087546s,1641515165.503966970s,1641515165.504246841s,1641515165.493509691s,0.010880s,-0.010737s,0.000071s,0.010808s
1641515165.493693758s,1641515165.504645911s,1641515165.504790615s,1641515165.494032360s,0.010952s,-0.010758s,0.000097s,0.010855s
1641515165.494218979s,1641515165.505090901s,1641515165.505287541s,1641515165.494565341s,0.010872s,-0.010722s,0.000075s,0.010797s
1641515165.494893786s,1641515165.505844914s,1641515165.505986290s,1641515165.495232701s,0.010951s,-0.010754s,0.000099s,0.010852s
1641515165.495531978s,1641515165.506482640s,1641515165.506624719s,1641515165.495882768s,0.010951s,-0.010742s,0.000104s,0.010846s
1641515165.496207828s,1641515165.507158765s,1641515165.507302892s,1641515165.496534137s,0.010951s,-0.010769s,0.000091s,0.010860s
1641515165.496858728s,1641515165.507746858s,1641515165.508034569s,1641515165.497280353s,0.010888s,-0.010754s,0.000067s,0.010821s
1641515165.497488483s,1641515165.508438759s,1641515165.508579751s,1641515165.497822397s,0.010950s,-0.010757s,0.000096s,0.010854s
1641515165.498095424s,1641515165.509045061s,1641515165.509185252s,1641515165.498416265s,0.010950s,-0.010769s,0.000090s,0.010859s
1641515165.498699188s,1641515165.509649794s,1641515165.509795074s,1641515165.499019508s,0.010951s,-0.010776s,0.000087s,0.010863s
1641515165.499298056s,1641515165.510246720s,1641515165.510532063s,1641515165.499754109s,0.010949s,-0.010778s,0.000085s,0.010863s
1641515165.500030990s,1641515165.510977853s,1641515165.511107420s,1641515165.500405218s,0.010947s,-0.010702s,0.000122s,0.010824s
1641515165.500607722s,1641515165.511491803s,1641515165.511761690s,1641515165.501059504s,0.010884s,-0.010702s,0.000091s,0.010793s
1641515165.501281801s,1641515165.512231768s,1641515165.512375031s,1641515165.501612017s,0.010950s,-0.010763s,0.000093s,0.010857s
1641515165.501889211s,1641515165.512834645s,1641515165.512976117s,1641515165.502284168s,0.010945s,-0.010692s,0.000127s,0.010819s
1641515165.502562560s,1641515165.513511506s,1641515165.513653010s,1641515165.502873088s,0.010949s,-0.010780s,0.000085s,0.010864s
1641515165.503156949s,1641515165.514107152s,1641515165.514248431s,1641515165.503458518s,0.010950s,-0.010790s,0.000080s,0.010870s
1641515165.503742848s,1641515165.514687789s,1641515165.514831405s,1641515165.504122805s,0.010945s,-0.010709s,0.000118s,0.010827s
1641515165.504380936s,1641515165.515331851s,1641515165.515481642s,1641515165.504697297s,0.010951s,-0.010784s,0.000083s,0.010868s
1641515165.504912771s,1641515165.515784457s,1641515165.515983016s,1641515165.505226216s,0.010872s,-0.010757s,0.000057s,0.010814s
1641515165.505501066s,1641515165.516451494s,1641515165.516593861s,1641515165.505873783s,0.010951s,-0.010720s,0.000115s,0.010835s
1641515165.506142123s,1641515165.517018436s,1641515165.517312066s,1641515165.506598123s,0.010876s,-0.010714s,0.000081s,0.010795s
1641515165.506886411s,1641515165.517773600s,1641515165.518053439s,1641515165.507348036s,0.010887s,-0.010705s,0.000091s,0.010796s
1641515165.507645231s,1641515165.518591805s,1641515165.518735804s,1641515165.507983572s,0.010947s,-0.010752s,0.000097s,0.010849s
1641515165.508264256s,1641515165.519208891s,1641515165.519349530s,1641515165.508626764s,0.010945s,-0.010723s,0.000111s,0.010834s
1641515165.508926719s,1641515165.519878616s,1641515165.520019607s,1641515165.509262769s,0.010952s,-0.010757s,0.000098s,0.010854s
1641515165.509554963s,1641515165.520499701s,1641515165.520640949s,1641515165.509903825s,0.010945s,-0.010737s,0.000104s,0.010841s
1641515165.510188988s,1641515165.521141650s,1641515165.521294130s,1641515165.510538788s,0.010953s,-0.010755s,0.000099s,0.010854s
1641515165.510852181s,1641515165.521802160s,1641515165.522005551s,1641515165.511288337s,0.010950s,-0.010717s,0.000116s,0.010834s
1641515165.511552249s,1641515165.522442701s,1641515165.522660108s,1641515165.511915383s,0.010890s,-0.010745s,0.000073s,0.010818s
1641515165.512179139s,1641515165.523162730s,1641515165.523377129s,1641515165.512652067s,0.010984s,-0.010725s,0.000129s,0.010854s
1641515165.512936344s,1641515165.523895975s,1641515165.524106822s,1641515165.513379115s,0.010960s,-0.010728s,0.000116s,0.010844s
1641515165.513670476s,1641515165.524628580s,1641515165.524818307s,1641515165.514122101s,0.010958s,-0.010696s,0.000131s,0.010827s
1641515165.514421015s,1641515165.525453312s,1641515165.525658304s,1641515165.514958111s,0.011032s,-0.010700s,0.000166s,0.010866s
1641515165.515241711s,1641515165.526190653s,1641515165.526476252s,1641515165.515785734s,0.010949s,-0.010690s,0.000129s,0.010820s
1641515165.516068241s,1641515165.527006234s,1641515165.527276825s,1641515165.516607889s,0.010938s,-0.010669s,0.000135s,0.010803s
1641515165.516850030s,1641515165.527790647s,1641515165.528064182s,1641515165.517330406s,0.010941s,-0.010734s,0.000103s,0.010837s
1641515165.517559890s,1641515165.528442740s,1641515165.528631187s,1641515165.517857345s,0.010883s,-0.010774s,0.000054s,0.010828s
1641515165.518088132s,1641515165.528962866s,1641515165.529145777s,1641515165.518370586s,0.010875s,-0.010775s,0.000050s,0.010825s
1641515165.518604706s,1641515165.529476272s,1641515165.529672367s,1641515165.518894296s,0.010871s,-0.010778s,0.000047s,0.010825s
1641515165.519168730s,1641515165.530117613s,1641515165.530260812s,1641515165.519533218s,0.010949s,-0.010728s,0.000111s,0.010838s
1641515165.519824683s,1641515165.530770026s,1641515165.530913162s,1641515165.520176618s,0.010945s,-0.010736s,0.000104s,0.010841s
1641515165.520468135s,1641515165.531413800s,1641515165.531555431s,1641515165.520806841s,0.010946s,-0.010749s,0.000098s,0.010847s
1641515165.521046118s,1641515165.532001957s,1641515165.532134341s,1641515165.521355917s,0.010956s,-0.010778s,0.000089s,0.010867s
1641515165.521580297s,1641515165.532529027s,1641515165.532674786s,1641515165.521916971s,0.010949s,-0.010758s,0.000095s,0.010853s
1641515165.522143591s,1641515165.533092033s,1641515165.533234048s,1641515165.522460734s,0.010948s,-0.010773s,0.000087s,0.010861s
1641515165.522680583s,1641515165.533629886s,1641515165.533778014s,1641515165.523021685s,0.010949s,-0.010756s,0.000097s,0.010853s
1641515165.523244919s,1641515165.534195868s,1641515165.534391867s,1641515165.523662846s,0.010951s,-0.010729s,0.000111s,0.010840s
1641515165.523933008s,1641515165.534879961s,1641515165.535027832s,1641515165.524324736s,0.010947s,-0.010703s,0.000122s,0.010825s
1641515165.524548387s,1641515165.535498134s,1641515165.535642070s,1641515165.524944334s,0.010950s,-0.010698s,0.000126s,0.010824s
1641515165.525147568s,1641515165.536014356s,1641515165.536206836s,1641515165.525493461s,0.010867s,-0.010713s,0.000077s,0.010790s
1641515165.525734873s,1641515165.536684274s,1641515165.536824593s,1641515165.526045610s,0.010949s,-0.010779s,0.000085s,0.010864s
1641515165.526294470s,1641515165.537259183s,1641515165.537401071s,1641515165.526696875s,0.010965s,-0.010704s,0.000130s,0.010834s
1641515165.526943860s,1641515165.537898572s,1641515165.538042476s,1641515165.527327202s,0.010955s,-0.010715s,0.000120s,0.010835s
1641515165.527568770s,1641515165.538459338s,1641515165.538579818s,1641515165.527788671s,0.010890s,-0.010791s,0.000050s,0.010841s
1641515165.528017010s,1641515165.538967496s,1641515165.539109191s,1641515165.528329361s,0.010951s,-0.010780s,0.000085s,0.010865s
1641515165.528605982s,1641515165.539556230s,1641515165.539827940s,1641515165.529046618s,0.010950s,-0.010781s,0.000085s,0.010866s
1641515165.529243653s,1641515165.540192355s,1641515165.540340738s,1641515165.529587255s,0.010949s,-0.010753s,0.000098s,0.010851s
