T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,OFF_S
1641515163.279774611s,1641515163.290692021s,1641515163.290968724s,1641515163.280202121s,0.010917s,-0.010767s,0.000075s,0.010842s
1641515163.280543431s,1641515163.291437458s,1641515163.291757233s,1641515163.280979691s,0.010894s,-0.010778s,0.000058s,0.010836s
1641515163.281236624s,1641515163.292185935s,1641515163.292508686s,1641515163.281808252s,0.010949s,-0.010700s,0.000124s,0.010825s
1641515163.281987319s,1641515163.292942956s,1641515163.293462954s,1641515163.282796244s,0.010956s,-0.010667s,0.000144s,0.010811s
1641515163.283030052s,1641515163.294034695s,1641515163.294781156s,1641515163.284057941s,0.011005s,-0.010723s,0.000141s,0.010864s
1641515163.284265341s,1641515163.295258210s,1641515163.295773824s,1641515163.285077600s,0.010993s,-0.010696s,0.000148s,0.010845s
1641515163.285447556s,1641515163.296394973s,1641515163.296978203s,1641515163.286307889s,0.010947s,-0.010670s,0.000139s,0.010809s
1641515163.286633626s,1641515163.297592056s,1641515163.298120566s,1641515163.287424582s,0.010958s,-0.010696s,0.000131s,0.010827s
1641515163.287749277s,1641515163.298778483s,1641515163.299232337s,1641515163.288511014s,0.011029s,-0.010721s,0.000154s,0.010875s
1641515163.288890866s,1641515163.299853199s,1641515163.300374989s,1641515163.289707500s,0.010962s,-0.010668s,0.000147s,0.010815s
1641515163.290024434s,1641515163.300993194s,1641515163.301501160s,1641515163.290858308s,0.010969s,-0.010643s,0.000163s,0.010806s
1641515163.291293110s,1641515163.302218501s,1641515163.302816706s,1641515163.292198965s,0.010925s,-0.010618s,0.000154s,0.010772s
1641515163.292760384s,1641515163.303780254s,1641515163.304251132s,1641515163.293569934s,0.011020s,-0.010681s,0.000169s,0.010851s
1641515163.294120416s,1641515163.305087609s,1641515163.305529367s,1641515163.294809703s,0.010967s,-0.010720s,0.000124s,0.010843s
1641515163.295375966s,1641515163.306414355s,1641515163.306751698s,1641515163.296076816s,0.011038s,-0.010675s,0.000182s,0.010857s
1641515163.296705216s,1641515163.307670030s,1641515163.307911597s,1641515163.297168300s,0.010965s,-0.010743s,0.000111s,0.010854s
1641515163.297508985s,1641515163.308477227s,1641515163.309021929s,1641515163.298317545s,0.010968s,-0.010705s,0.000132s,0.010836s
1641515163.298715784s,1641515163.309719494s,1641515163.310287203s,1641515163.299684452s,0.011004s,-0.010603s,0.000201s,0.010803s
1641515163.300226809s,1641515163.311305439s,1641515163.311711933s,1641515163.300992660s,0.011079s,-0.010719s,0.000180s,0.010899s
1641515163.301548038s,1641515163.312583386s,1641515163.313015160s,1641515163.302332952s,0.011035s,-0.010682s,0.000177s,0.010859s
1641515163.302759524s,1641515163.313717813s,1641515163.314244275s,1641515163.304081691s,0.010958s,-0.010163s,0.000398s,0.010561s
1641515163.304217527s,1641515163.315285422s,1641515163.315819244s,1641515163.305159529s,0.011068s,-0.010660s,0.000204s,0.010864s
1641515163.305311928s,1641515163.316357194s,1641515163.316878376s,1641515163.306148979s,0.011045s,-0.010729s,0.000158s,0.010887s
1641515163.306308670s,1641515163.317358662s,1641515163.317862180s,1641515163.307138221s,0.011050s,-0.010724s,0.000163s,0.010887s
1641515163.307381143s,1641515163.318341602s,1641515163.318868639s,1641515163.308158557s,0.010960s,-0.010710s,0.000125s,0.010835s
1641515163.308335436s,1641515163.319366013s,1641515163.319878651s,1641515163.309151705s,0.011030s,-0.010727s,0.000152s,0.010879s
1641515163.311055500s,1641515163.321987186s,1641515163.324540104s,1641515163.313994267s,0.010932s,-0.010546s,0.000193s,0.010739s
1641515163.315821393s,1641515163.326863326s,1641515163.327311292s,1641515163.316584536s,0.011042s,-0.010727s,0.000158s,0.010884s
1641515163.316932877s,1641515163.327896570s,1641515163.328383064s,1641515163.317731333s,0.010964s,-0.010652s,0.000156s,0.010808s
1641515163.319624607s,1641515163.330604206s,1641515163.332338311s,1641515163.321691687s,0.010980s,-0.010647s,0.000167s,0.010813s
1641515163.321888358s,1641515163.332902757s,1641515163.333410083s,1641515163.322696658s,0.011014s,-0.010713s,0.000150s,0.010864s
1641515163.322896246s,1641515163.333912737s,1641515163.334550974s,1641515163.323907103s,0.011017s,-0.010644s,0.000186s,0.010830s
1641515163.325899441s,1641515163.336935956s,1641515163.337429490s,1641515163.326759305s,0.011037s,-0.010670s,0.000183s,0.010853s
1641515163.327372653s,1641515163.338431854s,1641515163.338803596s,1641515163.328258663s,0.011059s,-0.010545s,0.000257s,0.010802s
1641515163.328706538s,1641515163.339649481s,1641515163.340175654s,1641515163.329479681s,0.010943s,-0.010696s,0.000124s,0.010819s
1641515163.329750782s,1641515163.340748004s,1641515163.341250082s,1641515163.330551738s,0.010997s,-0.010699s,0.000149s,0.010848s
