T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,ptp,quic
1641992749.583262259s,1641992749.633703227s,1641992749.633771439s,1641992749.584148271s,0.050441s,-0.049623s,0.000409s,0.050032,0.05343473
1641992749.584148271s,1641992749.634839394s,1641992749.634884041s,1641992749.585264994s,0.050691s,-0.049619s,0.000536s,0.050155,0.052047849
1641992749.585264994s,1641992749.635749808s,1641992749.635787440s,1641992749.589951766s,0.050485s,-0.045836s,0.002325s,0.04816,0.052259386
1641992749.589951766s,1641992749.640339549s,1641992749.640400040s,1641992749.590775578s,0.050388s,-0.049624s,0.000382s,0.050006,0.05220751
1641992749.590775578s,1641992749.641152213s,1641992749.641205065s,1641992749.591619621s,0.050377s,-0.049585s,0.000396s,0.049981,0.052619278
1641992749.591619621s,1641992749.642002830s,1641992749.642044618s,1641992749.592458463s,0.050383s,-0.049586s,0.000399s,0.049985,0.052593088
1641992749.592458463s,1641992749.642829240s,1641992749.642888695s,1641992749.593326747s,0.050371s,-0.049562s,0.000404s,0.049966,0.052594721
1641992749.593326747s,1641992749.643704565s,1641992749.643744960s,1641992749.594129753s,0.050378s,-0.049615s,0.000381s,0.049996,0.052591835
1641992749.594129753s,1641992749.644503990s,1641992749.644538613s,1641992749.594913975s,0.050374s,-0.049625s,0.000375s,0.049999,0.052572623
1641992749.594913975s,1641992749.645303744s,1641992749.645352710s,1641992749.595760032s,0.050390s,-0.049592s,0.000399s,0.049991,0.052607139
1641992749.595760032s,1641992749.646125611s,1641992749.646173406s,1641992749.596581086s,0.050365s,-0.049592s,0.000386s,0.049979,0.05260874
1641992749.596581086s,1641992749.647364107s,1641992749.647393757s,1641992749.598094549s,0.050783s,-0.049299s,0.000742s,0.050041,0.052644199
1641992749.598094549s,1641992749.648659489s,1641992749.648680664s,1641992749.599143504s,0.050565s,-0.049537s,0.000514s,0.050051,0.052874813
1641992749.599143504s,1641992749.649743069s,1641992749.649744069s,1641992749.600289417s,0.050600s,-0.049455s,0.000572s,0.050027,0.052863644
1641992749.600289417s,1641992749.650679070s,1641992749.650714136s,1641992749.601128413s,0.050390s,-0.049586s,0.000402s,0.049988,0.052799966
1641992749.601128413s,1641992749.651512388s,1641992749.651558526s,1641992749.601989576s,0.050384s,-0.049569s,0.000407s,0.049977,0.052768517
1641992749.601989576s,1641992749.652371392s,1641992749.652402344s,1641992749.602785848s,0.050382s,-0.049617s,0.000383s,0.049999,0.052679367
1641992749.602785848s,1641992749.653281631s,1641992749.653328109s,1641992749.603757381s,0.050496s,-0.049571s,0.000463s,0.050033,0.052646335
1641992749.603757381s,1641992749.654125371s,1641992749.654165237s,1641992749.604561719s,0.050368s,-0.049603s,0.000382s,0.049986,0.052645769
1641992749.604561719s,1641992749.654927474s,1641992749.654968867s,1641992749.605388806s,0.050366s,-0.049580s,0.000393s,0.049973,0.052642509
1641992749.605388806s,1641992749.655754065s,1641992749.655793927s,1641992749.606188567s,0.050365s,-0.049605s,0.000380s,0.049985,0.052634609
1641992749.606188567s,1641992749.656573203s,1641992749.656607120s,1641992749.607015873s,0.050385s,-0.049591s,0.000397s,0.049988,0.052638434
1641992749.607015873s,1641992749.657388821s,1641992749.657433762s,1641992749.608493091s,0.050373s,-0.048941s,0.000716s,0.049657,0.052640687
1641992749.608493091s,1641992749.659129219s,1641992749.659131653s,1641992749.609672839s,0.050636s,-0.049459s,0.000589s,0.050048,0.052642138
1641992749.609672839s,1641992749.660077404s,1641992749.660097114s,1641992749.610482280s,0.050405s,-0.049615s,0.000395s,0.05001,0.052648226
1641992749.610482280s,1641992749.660873318s,1641992749.660920184s,1641992749.611316076s,0.050391s,-0.049604s,0.000394s,0.049998,0.052647767
1641992749.611316076s,1641992749.661690768s,1641992749.661736347s,1641992749.612145650s,0.050375s,-0.049591s,0.000392s,0.049983,0.052645674
1641992749.612145650s,1641992749.662544909s,1641992749.662563269s,1641992749.612957116s,0.050399s,-0.049606s,0.000396s,0.050003,0.052647701
1641992749.612957116s,1641992749.663323291s,1641992749.663382134s,1641992749.613787709s,0.050366s,-0.049594s,0.000386s,0.04998,0.052651563
1641992749.613787709s,1641992749.664166582s,1641992749.664215191s,1641992749.614606847s,0.050379s,-0.049608s,0.000385s,0.049994,0.052656959
1641992749.614606847s,1641992749.665026458s,1641992749.665089252s,1641992749.616295255s,0.050420s,-0.048794s,0.000813s,0.049607,0.052657863
1641992749.616295255s,1641992749.666598714s,1641992749.666616549s,1641992749.617044199s,0.050303s,-0.049572s,0.000366s,0.049938,0.052662146
1641992749.617044199s,1641992749.667336763s,1641992749.667371408s,1641992749.617772729s,0.050292s,-0.049599s,0.000347s,0.049946,0.052665163
1641992749.617772729s,1641992749.668066149s,1641992749.668086483s,1641992749.618457444s,0.050293s,-0.049629s,0.000332s,0.049961,0.052667798
1641992749.618457444s,1641992749.668765925s,1641992749.668787366s,1641992749.619191331s,0.050308s,-0.049596s,0.000356s,0.049952,0.052671145
1641992749.619191331s,1641992749.669502627s,1641992749.669537046s,1641992749.619943397s,0.050311s,-0.049594s,0.000359s,0.049953,0.052669552
1641992749.619943397s,1641992749.670243777s,1641992749.670264263s,1641992749.620635648s,0.050300s,-0.049628s,0.000336s,0.049964,0.05266873
1641992749.620635648s,1641992749.670927878s,1641992749.670949363s,1641992749.621337012s,0.050292s,-0.049613s,0.000340s,0.049952,0.05267141
1641992749.621337012s,1641992749.671635299s,1641992749.671644780s,1641992749.622041235s,0.050298s,-0.049603s,0.000347s,0.049951,0.052670724
1641992749.622041235s,1641992749.672331461s,1641992749.672353001s,1641992749.622760252s,0.050290s,-0.049593s,0.000349s,0.049942,0.052669935
1641992749.622760252s,1641992749.673064682s,1641992749.673085370s,1641992749.623498128s,0.050304s,-0.049587s,0.000359s,0.049946,0.052670881
1641992749.623498128s,1641992749.673810665s,1641992749.673830975s,1641992749.629439189s,0.050313s,-0.044392s,0.002960s,0.047352,0.052673203
1641992749.629439189s,1641992749.679746608s,1641992749.679768650s,1641992749.630221670s,0.050308s,-0.049547s,0.000380s,0.049927,0.052676558
1641992749.630221670s,1641992749.680534689s,1641992749.680550170s,1641992749.630976622s,0.050313s,-0.049573s,0.000370s,0.049943,0.052679733
1641992749.630976622s,1641992749.681273089s,1641992749.681294075s,1641992749.631690245s,0.050296s,-0.049604s,0.000346s,0.04995,0.052686458
1641992749.631690245s,1641992749.681997413s,1641992749.682018741s,1641992749.632428126s,0.050307s,-0.049591s,0.000358s,0.049949,0.052691621
1641992749.632428126s,1641992749.682666292s,1641992749.682683105s,1641992749.633116506s,0.050238s,-0.049567s,0.000336s,0.049902,0.052685551
1641992749.633116506s,1641992749.683432773s,1641992749.683454589s,1641992749.633863040s,0.050316s,-0.049592s,0.000362s,0.049954,0.052688028
1641992749.633863040s,1641992749.684159016s,1641992749.684180099s,1641992749.634590727s,0.050296s,-0.049589s,0.000353s,0.049943,0.052693206
1641992749.634590727s,1641992749.684892944s,1641992749.684914487s,1641992749.635332741s,0.050302s,-0.049582s,0.000360s,0.049942,0.052698851
1641992749.635332741s,1641992749.685638603s,1641992749.685657451s,1641992749.636106930s,0.050306s,-0.049551s,0.000378s,0.049928,0.052702579
1641992749.636106930s,1641992749.686415990s,1641992749.686444450s,1641992749.636848634s,0.050309s,-0.049596s,0.000357s,0.049952,0.052704126
1641992749.636848634s,1641992749.687154277s,1641992749.687173011s,1641992749.642059969s,0.050306s,-0.045113s,0.002596s,0.047709,0.052703626
1641992749.642059969s,1641992749.692365282s,1641992749.692384613s,1641992749.642784756s,0.050305s,-0.049600s,0.000353s,0.049953,0.052702294
1641992749.642784756s,1641992749.693077290s,1641992749.693107413s,1641992749.643544650s,0.050292s,-0.049563s,0.000365s,0.049928,0.052702707
1641992749.643544650s,1641992749.693854472s,1641992749.693875181s,1641992749.644273788s,0.050310s,-0.049601s,0.000354s,0.049956,0.052702262
1641992749.644273788s,1641992749.694590233s,1641992749.694610208s,1641992749.645034987s,0.050317s,-0.049575s,0.000371s,0.049946,0.052700332
1641992749.645034987s,1641992749.695345917s,1641992749.695359133s,1641992749.645777724s,0.050311s,-0.049582s,0.000365s,0.049946,0.052700727
1641992749.645777724s,1641992749.696075400s,1641992749.696096890s,1641992749.646502765s,0.050298s,-0.049594s,0.000352s,0.049946,0.052701296
1641992749.646502765s,1641992749.696802833s,1641992749.696823986s,1641992749.647222147s,0.050300s,-0.049602s,0.000349s,0.049951,0.052699418
1641992749.647222147s,1641992749.697521174s,1641992749.697543825s,1641992749.647948990s,0.050299s,-0.049595s,0.000352s,0.049947,0.052700309
