quic,OFF_S
0.013184667,0.010858s
0.010687828,0.010838s
0.012655735,0.010858s
0.010290504,0.010870s
0.009937644,0.010794s
0.010048151,0.010858s
0.01045835,0.010826s
0.010477424,0.010855s
0.012912273,0.010867s
0.013428211,0.010835s
0.010581374,0.010848s
0.010566592,0.010868s
0.010535359,0.010841s
0.010377049,0.010835s
0.01004231,0.010822s
0.010566831,0.010855s
0.010004878,0.010850s
0.012399316,0.010843s
0.012870312,0.010865s
0.010804653,0.010829s
0.010487437,0.010791s
0.012322783,0.010846s
0.012699008,0.010828s
0.010511875,0.010867s
0.014424205,0.010825s
0.010430932,0.010838s
0.010900855,0.010851s
0.01206553,0.010840s
0.009025931,0.010845s
0.010363817,0.010834s
0.009890318,0.010863s
0.010368824,0.010865s
0.013071418,0.010826s
0.010432124,0.010835s
0.012877226,0.010836s
0.010435343,0.010853s
0.011660099,0.010816s
0.011060357,0.010852s
0.01049757,0.010824s
0.01398313,0.010855s
0.010488153,0.010821s
0.010327578,0.010832s
0.010290504,0.010874s
0.010687947,0.010840s
0.013037086,0.010854s
0.01326263,0.010828s
0.010918498,0.010836s
0.010360479,0.010861s
0.009873509,0.010852s
0.010270476,0.010856s
0.012923717,0.010858s
0.01044476,0.010822s
0.010383964,0.010836s
0.010436177,0.010828s
0.010290146,0.010849s
0.013917804,0.010854s
0.01054728,0.010859s
0.009616375,0.010837s
0.009763241,0.010850s
0.009783149,0.010833s
0.013287187,0.010866s
0.010393381,0.010842s
0.014026523,0.010873s
0.010486007,0.010823s
0.010214329,0.010845s
0.01450181,0.010851s
0.011246562,0.010850s
0.013439775,0.010841s
0.010452986,0.010801s
0.009838939,0.010868s
0.010482192,0.010818s
0.010353684,0.010847s
0.010394335,0.010820s
0.009788871,0.010832s
0.010334373,0.010870s
0.010810733,0.010835s
0.010216475,0.010846s
0.01376152,0.010838s
0.013111591,0.010882s
0.011635065,0.010838s
0.010066748,0.010870s
0.010434866,0.010839s
0.013239861,0.010842s
0.0104177,0.010876s
0.012892723,0.010812s
0.010426044,0.010873s
0.012845755,0.010848s
0.010502577,0.010832s
0.011926413,0.010792s
0.013500452,0.010808s
0.012158155,0.010840s
0.010411263,0.010825s
0.011019945,0.010855s
0.010423303,0.010848s
0.009672761,0.010865s
0.015613556,0.010844s
0.010399342,0.010784s
0.010304213,0.010838s
0.012898564,0.010784s
