T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,ptp,quic
1641991855.202327274s,1641991855.222667041s,1641991855.222731988s,1641991855.203250444s,0.020340s,-0.019482s,0.000429s,0.019911,0.022160172
1641991855.203250444s,1641991855.223576263s,1641991855.223617637s,1641991855.204122583s,0.020326s,-0.019495s,0.000415s,0.01991,0.021874785
1641991855.204122583s,1641991855.224441755s,1641991855.224444428s,1641991855.204942241s,0.020319s,-0.019502s,0.000409s,0.019911,0.023593068
1641991855.204942241s,1641991855.225203619s,1641991855.225250848s,1641991855.205797908s,0.020261s,-0.019453s,0.000404s,0.019857,0.023276369
1641991855.205797908s,1641991855.226076513s,1641991855.226118124s,1641991855.206617232s,0.020279s,-0.019501s,0.000389s,0.01989,0.023061097
1641991855.206617232s,1641991855.226908242s,1641991855.226938876s,1641991855.207462682s,0.020291s,-0.019476s,0.000407s,0.019884,0.022980213
1641991855.207462682s,1641991855.227747923s,1641991855.227799598s,1641991855.208323153s,0.020285s,-0.019476s,0.000404s,0.019881,0.022897303
1641991855.208323153s,1641991855.228638710s,1641991855.228641190s,1641991855.209185708s,0.020315s,-0.019456s,0.000430s,0.019886,0.022851433
1641991855.209185708s,1641991855.229514217s,1641991855.229591516s,1641991855.210102712s,0.020329s,-0.019489s,0.000420s,0.019909,0.023162514
1641991855.210102712s,1641991855.230633155s,1641991855.230635550s,1641991855.211134380s,0.020530s,-0.019501s,0.000515s,0.020016,0.023038824
1641991855.211134380s,1641991855.231605439s,1641991855.231608096s,1641991855.212076942s,0.020471s,-0.019531s,0.000470s,0.020001,0.022897875
1641991855.212076942s,1641991855.232363607s,1641991855.232417305s,1641991855.212919804s,0.020287s,-0.019498s,0.000395s,0.019892,0.022875027
1641991855.212919804s,1641991855.233228462s,1641991855.233230774s,1641991855.213721220s,0.020309s,-0.019510s,0.000400s,0.019909,0.022789468
1641991855.213721220s,1641991855.234034870s,1641991855.234072981s,1641991855.214585589s,0.020314s,-0.019487s,0.000413s,0.0199,0.022819473
1641991855.214585589s,1641991855.234889625s,1641991855.234936526s,1641991855.215442601s,0.020304s,-0.019494s,0.000405s,0.019899,0.022794468
1641991855.215442601s,1641991855.235742151s,1641991855.235756022s,1641991855.216227836s,0.020299s,-0.019528s,0.000386s,0.019914,0.022745959
1641991855.216227836s,1641991855.236513799s,1641991855.236545052s,1641991855.217091766s,0.020286s,-0.019453s,0.000416s,0.01987,0.022730693
1641991855.217091766s,1641991855.237405741s,1641991855.237421366s,1641991855.217931244s,0.020314s,-0.019490s,0.000412s,0.019902,0.022726557
1641991855.217931244s,1641991855.238213305s,1641991855.238273899s,1641991855.218797525s,0.020282s,-0.019476s,0.000403s,0.019879,0.022716151
1641991855.218797525s,1641991855.239096997s,1641991855.239141954s,1641991855.219639014s,0.020299s,-0.019503s,0.000398s,0.019901,0.022714496
1641991855.219639014s,1641991855.239928682s,1641991855.239971141s,1641991855.220458469s,0.020290s,-0.019513s,0.000389s,0.019901,0.0227139
1641991855.220458469s,1641991855.240770861s,1641991855.240800606s,1641991855.221312810s,0.020312s,-0.019488s,0.000412s,0.0199,0.022700344
1641991855.221312810s,1641991855.241641312s,1641991855.241643898s,1641991855.222148770s,0.020329s,-0.019495s,0.000417s,0.019912,0.022696528
1641991855.222148770s,1641991855.242500184s,1641991855.242538581s,1641991855.223022008s,0.020351s,-0.019517s,0.000417s,0.019934,0.022697418
1641991855.223022008s,1641991855.243313095s,1641991855.243347487s,1641991855.223858332s,0.020291s,-0.019489s,0.000401s,0.01989,0.022644723
1641991855.223858332s,1641991855.244175196s,1641991855.244188991s,1641991855.224692483s,0.020317s,-0.019496s,0.000410s,0.019907,0.02264595
1641991855.224692483s,1641991855.244981879s,1641991855.245064922s,1641991855.225583689s,0.020289s,-0.019481s,0.000404s,0.019885,0.02264822
1641991855.225583689s,1641991855.245861767s,1641991855.245909810s,1641991855.226420349s,0.020278s,-0.019489s,0.000394s,0.019884,0.022635297
1641991855.226420349s,1641991855.246776905s,1641991855.246779524s,1641991855.227315041s,0.020356s,-0.019464s,0.000446s,0.01991,0.022628397
1641991855.227315041s,1641991855.247595547s,1641991855.247643005s,1641991855.228199262s,0.020281s,-0.019444s,0.000418s,0.019862,0.022635678
1641991855.228199262s,1641991855.248505695s,1641991855.248524944s,1641991855.229063422s,0.020306s,-0.019461s,0.000422s,0.019884,0.022635293
1641991855.229063422s,1641991855.249368601s,1641991855.249397478s,1641991855.229927659s,0.020305s,-0.019470s,0.000418s,0.019888,0.022629242
1641991855.229927659s,1641991855.250238643s,1641991855.250261494s,1641991855.230762518s,0.020311s,-0.019499s,0.000406s,0.019905,0.022625715
1641991855.230762518s,1641991855.251097768s,1641991855.251100636s,1641991855.231595967s,0.020335s,-0.019505s,0.000415s,0.01992,0.022623615
