frame,time,offset,recv time,send,the,raw
1,0.032393456,0,1641858215,1641858215,0.032400131,0.9688
2,0.022541165,0.002813697,1641858215,1641858215,0.019740105,0.9688
3,0.036477208,0.001474261,1641858215,1641858215,0.035009861,0.9688
4,0.035266995,0.003627419,1641858215,1641858215,0.031650066,0.9688
5,0.024969935,0.002724528,1641858215,1641858215,0.022250175,0.9688
6,0.026952863,0.00258553,1641858216,1641858215,0.024379969,0.9688
7,0.026032686,0.003726482,1641858216,1641858216,0.022320032,0.9688
8,0.028937459,0.00264895,1641858216,1641858216,0.02628994,0.9688
9,0.025984287,0.003695726,1641858216,1641858216,0.022300005,0.9688
10,0.01533401,0.002793908,1641858216,1641858216,0.012539864,0.9688
11,0.020664334,0.002560735,1641858216,1641858216,0.01812005,0.9688
12,0.022311926,0.000597,1641858216,1641858216,0.021729946,0.9688
13,0.041102409,0.002434015,1641858216,1641858216,0.038680077,0.9688
14,0.025366902,0.002958655,1641858216,1641858216,0.022420168,0.9688
15,0.02547133,0.002687812,1641858216,1641858216,0.022789955,0.9688
16,0.025302529,0.002620339,1641858216,1641858216,0.022690058,0.9688
17,0.025749207,0.002748728,1641858216,1641858216,0.023010015,0.9688
18,0.02661562,0.002880573,1641858216,1641858216,0.023740053,0.9688
19,0.025844812,0.00320673,1641858216,1641858216,0.022650003,0.9688
20,0.016412377,0.002898574,1641858216,1641858216,0.013520002,0.9688
21,0.016484976,0.00242281,1641858216,1641858216,0.014080048,0.9688
22,0.025729537,0.002988458,1641858216,1641858216,0.022750139,0.9688
23,0.025389075,0.002911687,1641858216,1641858216,0.022480011,0.9688
24,0.025503874,0.002838373,1641858216,1641858216,0.022670031,0.9688
25,0.016163588,0.002895832,1641858216,1641858216,0.013279915,0.9688
26,0.025247216,0.002851367,1641858216,1641858216,0.022400141,0.9688
27,0.025444865,0.002868772,1641858216,1641858216,0.022579908,0.9688
28,0.025160909,0.00284946,1641858216,1641858216,0.022320032,0.9688
29,0.038269401,0.002812743,1641858216,1641858216,0.035470009,0.9688
30,0.026383281,0.002889991,1641858216,1641858216,0.023499966,0.9688
31,0.022326708,0.002437592,1641858216,1641858216,0.019900084,0.9688
32,0.025131226,0.002582788,1641858216,1641858216,0.022550106,0.9688
33,0.025614619,0.00264585,1641858216,1641858216,0.022969961,0.9688
34,0.024759412,0.002812743,1641858216,1641858216,0.021950006,0.9688
35,0.024084091,0.002716541,1641858216,1641858216,0.021369934,0.9688
36,0.024356961,0.002816081,1641858216,1641858216,0.021550179,0.9688
37,0.026151299,0.003359437,1641858217,1641858217,0.022799969,0.9688
38,0.016387105,0.002752423,1641858217,1641858217,0.013639927,0.9688
39,0.025945663,0.002816916,1641858217,1641858217,0.023139954,0.9688
40,0.024955988,0.002962589,1641858217,1641858217,0.022000074,0.9688
41,0.02372098,0.002820015,1641858217,1641858217,0.020910025,0.9688
42,0.023221135,0.002868772,1641858217,1641858217,0.020359993,0.9688
43,0.016057611,0.002838731,1641858217,1641858217,0.013230085,0.9688
44,0.025622845,0.002857924,1641858217,1641858217,0.022779942,0.9688
45,0.03389883,0.001644373,1641858217,1641858217,0.032269955,0.9688
46,0.025248647,0.002950788,1641858217,1641858217,0.02230978,0.9688
47,0.015849113,0.002690077,1641858217,1641858217,0.01315999,0.9688
48,0.025693297,0.002789378,1641858217,1641858217,0.02290988,0.9688
49,0.024533629,0.002850413,1641858217,1641858217,0.021699905,0.9688
50,0.024155617,0.00284481,1641858217,1641858217,0.02132988,0.9688
51,0.023587584,0.002729774,1641858217,1641858217,0.02086997,0.9688
52,0.025761127,0.003170013,1641858217,1641858217,0.022600174,0.9688
53,0.025696874,0.002887845,1641858217,1641858217,0.022809982,0.9688
54,0.024823785,0.002882361,1641858217,1641858217,0.021950006,0.9688
55,0.024021506,0.002853036,1641858217,1641858217,0.021170139,0.9688
56,0.022948384,0.002840161,1641858217,1641858217,0.020120144,0.9688
57,0.025197864,0.002863765,1641858217,1641858217,0.022349834,0.9688
58,0.016148686,0.00284493,1641858217,1641858217,0.013309956,0.9688
59,0.032990098,0.002866864,1641858217,1641858217,0.030139923,0.9688
60,0.027455091,0.002870798,1641858217,1641858217,0.024600029,0.9688
61,0.013786077,0.000781298,1641858217,1641858217,0.0130198,0.9688
62,0.016302943,0.002723575,1641858217,1641858217,0.013589859,0.9688
63,0.025965691,0.002797127,1641858217,1641858217,0.023180008,0.9688
64,0.023450971,0.002897382,1641858217,1641858217,0.02057004,0.9688
65,0.024917006,0.002879262,1641858218,1641858217,0.022050142,0.9688
66,0.023785353,0.002854586,1641858218,1641858218,0.020939827,0.9688
67,0.016292453,0.002689719,1641858218,1641858218,0.013609886,0.9688
68,0.01619792,0.002889872,1641858218,1641858218,0.013309956,0.9688
69,0.025483012,0.002824664,1641858218,1641858218,0.022670031,0.9688
70,0.024527788,0.002846956,1641858218,1641858218,0.021689892,0.9688
71,0.02388227,0.002875447,1641858218,1641858218,0.021019936,0.9688
72,0.015894413,0.002824306,1641858218,1641858218,0.01308012,0.9688
73,0.025614977,0.002851963,1641858218,1641858218,0.022769928,0.9688
74,0.024555564,0.002906442,1641858218,1641858218,0.021659851,0.9688
75,0.023807764,0.002879381,1641858218,1641858218,0.020930052,0.9688
76,0.03558898,0.002929449,1641858218,1641858218,0.032670021,0.9688
77,0.025105476,0.002859831,1641858218,1641858218,0.022260189,0.9688
78,0.025348186,0.00271225,1641858218,1641858218,0.02263999,0.9688
79,0.024330974,0.002668738,1641858218,1641858218,0.021670103,0.9688
80,0.024045944,0.002803326,1641858218,1641858218,0.02125001,0.9688
81,0.023243666,0.002800941,1641858218,1641858218,0.020449877,0.9688
82,0.025865555,0.002857447,1641858218,1641858218,0.023020029,0.9688
83,0.024917126,0.002875566,1641858218,1641858218,0.022049904,0.9688
84,0.024128199,0.00283289,1641858218,1641858218,0.021310091,0.9688
85,0.023430705,0.002838016,1641858218,1641858218,0.02060008,0.9688
86,0.02543366,0.002815843,1641858218,1641858218,0.022629976,0.9688
87,0.025702357,0.002796054,1641858218,1641858218,0.02290988,0.9688
88,0.024518132,0.00285399,1641858218,1641858218,0.021669865,0.9688
89,0.023931384,0.002743125,1641858218,1641858218,0.021189928,0.9688
90,0.022392988,0.002396584,1641858218,1641858218,0.020009995,0.9688
91,0.025146723,0.002815485,1641858218,1641858218,0.022349834,0.9688
92,0.031317592,0.002852082,1641858218,1641858218,0.028470039,0.9688
93,0.025638103,0.002860785,1641858218,1641858218,0.022789955,0.9688
94,0.024317026,0.002776384,1641858219,1641858218,0.02154994,0.9688
95,0.023608923,0.002727747,1641858219,1641858219,0.020889997,0.9688
96,0.022617221,0.002715707,1641858219,1641858219,0.019910097,0.9688
97,0.015992165,0.002730846,1641858219,1641858219,0.01327014,0.9688
98,0.02551198,0.002823591,1641858219,1641858219,0.022689819,0.9688
99,0.024646997,0.002786636,1641858219,1641858219,0.021869898,0.9688
100,0.02364707,0.002806425,1641858219,1641858219,0.020849943,0.9688
101,0.02279675,0.002774119,1641858219,1641858219,0.020030022,0.9688
102,0.016162634,0.002764225,1641858219,1641858219,0.013409853,0.9688
103,0.025698543,0.002810121,1641858219,1641858219,0.022900105,0.9688
104,0.024559617,0.002886653,1641858219,1641858219,0.021679878,0.9688
105,0.023959637,0.002841949,1641858219,1641858219,0.021129847,0.9688
106,0.023030043,0.002812147,1641858219,1641858219,0.020230055,0.9688
107,0.016095877,0.002841473,1641858219,1641858219,0.01327014,0.9688
108,0.040370464,0.002864599,1641858219,1641858219,0.037519932,0.9688
109,0.026109815,0.002858281,1641858219,1641858219,0.023259878,0.9688
110,0.025061131,0.002667904,1641858219,1641858219,0.022399902,0.9688
111,0.025090575,0.002726436,1641858219,1641858219,0.022379875,0.9688
