Index,OFF_S,quic 
228,0.001245s,0.000415802
229,0.001200s,0.0004071
230,0.001239s,0.00288856
231,0.001268s,-0.000143051
232,0.001232s,0.000325561
233,0.001193s,0.000480175
234,0.001248s,0.000508904
235,0.001270s,0.000542045
236,0.001222s,0.000563979
237,0.001197s,0.000291586
238,0.001241s,0.00280261
239,0.001235s,3.05E-05
240,0.001261s,0.003556728
241,0.001196s,0.002918363
242,0.001248s,0.000521183
243,0.001272s,0.002449512
244,0.001257s,0.003741145
245,0.001242s,0.000426888
246,0.001255s,0.000408292
247,0.001265s,0.000430465
248,0.001262s,0.000273705
249,0.001242s,0.000514627
250,0.001202s,0.005100369
251,0.001206s,0.002820611
252,0.001214s,0.000462413
253,0.001227s,0.002347708
254,0.001250s,0.002926946
255,0.001259s,-7.40E-05
256,0.001225s,0.002861857
257,0.001271s,0.000508308
258,0.001209s,0.000236392
259,0.001239s,0.000423908
260,0.001231s,0.000290155
261,0.001243s,0.004981518
262,0.001276s,0.003512859
263,0.001244s,0.000733376
264,0.001198s,0.000337481
265,0.001247s,0.000535488
266,0.001206s,0.000519514
267,0.001218s,0.005434513
268,0.001243s,0.00014317
269,0.001263s,0.003329873
270,0.001212s,-0.000294447
271,0.001234s,-0.000190854
272,0.001224s,0.000517964
273,0.001214s,0.000579238
274,0.001217s,0.002679586
275,0.001199s,-0.00037992
276,0.001217s,0.00384891
277,0.001226s,-0.000199914
278,0.001191s,0.000493288
279,0.001230s,0.000490785
280,0.001212s,0.003598452
281,0.001195s,0.000164747
282,0.001218s,0.000187039
283,0.001261s,0.000889659
284,0.001202s,0.001274109
285,0.001262s,0.003380179
286,0.001246s,0.000109911
287,0.001241s,0.000529766
288,0.001229s,0.002852917
289,0.001248s,0.000662446
290,0.001276s,0.002953291
291,0.001267s,0.003049135
292,0.001260s,0.002868772
293,0.001256s,0.000609517
294,0.001266s,0.000606179
295,0.001238s,0.002434969
296,0.001267s,4.76E-05
297,0.001238s,0.003778338
298,0.001270s,0.000224471
299,0.001262s,0.003046989
300,0.001223s,0.000256419
301,0.001265s,0.000480533
302,0.001245s,0.00042057
303,0.001265s,0.002099752
304,0.001259s,0.000582337
305,0.001247s,0.000436187
306,0.001260s,0.000273347
307,0.001228s,0.000777602
308,0.001257s,0.000464916
309,0.001228s,0.000423789
310,0.001263s,0.002879262
311,0.001240s,0.004547834
312,0.001268s,0.000409961
313,0.001271s,0.003299236
314,0.001262s,0.000363111
315,0.001243s,0.00093627
316,0.001199s,0.002420902
317,0.001242s,0.003270984
318,0.001251s,0.000742912
319,0.001248s,0.002234936
320,0.001233s,0.002873421
321,0.001233s,0.00395596
322,0.001280s,0.002439976
323,0.001248s,0.000375152
324,0.001239s,0.009924293
325,0.001248s,0.000517607
326,0.001232s,0.001570225
327,0.001238s,0.000262141
328,0.001227s,0.00419414
329,0.001244s,0.000448227
330,0.001240s,0.00039351
331,0.001236s,0.000421405
332,0.001202s,0.006484747
333,0.001261s,0.00566113
334,0.001242s,0.000516057
335,0.001272s,0.002682447
336,0.001263s,0.00302434
337,0.001272s,0.000430703
338,0.001193s,0.000171304
339,0.001240s,0.00310874
340,0.001226s,0.002751231
341,0.001195s,0.000465155
342,0.001277s,0.000401735
343,0.001236s,0.000463009
344,0.001251s,0.002853632
345,0.001250s,0.004141092
346,0.001227s,0.003008842
347,0.001269s,0.003125787
348,0.001222s,0.000284553
349,0.001255s,0.003233552
350,0.001264s,0.00280118
351,0.001259s,0.000359774
352,0.001221s,0.002664089
353,0.001245s,0.000399947
354,0.001236s,0.003424168
355,0.001266s,0.00047183
356,0.001264s,0.003150821
357,0.001268s,0.000592828
358,0.001218s,0.002804995
359,0.001269s,0.000461459
360,0.001233s,0.002903342
361,0.001243s,0.000479698
362,0.001242s,0.003013849
363,0.001261s,0.002667189
364,0.001232s,0.000419855
365,0.001242s,0.003240585
366,0.001255s,-0.000366211
367,0.001247s,0.000342846
368,0.001225s,0.003061175
369,0.001234s,0.000603318
370,0.001266s,0.002954483
371,0.001259s,0.003877759
372,0.001236s,0.000357032
373,0.001261s,0.003642678
374,0.001263s,0.000645399
375,0.001224s,0.005698681
376,0.001236s,0.002847552
377,0.001256s,0.004400134
