frame,time,offset,recv time,send,the,raw
1,0.074704647,0,1641861243,1641861243,0.074709892,2.1996
2,0.060737848,0.00400281,1641861243,1641861243,0.056740046,2.1996
3,0.059060335,0.001818895,1641861243,1641861243,0.057260036,2.1996
4,0.057338119,0.00211823,1641861243,1641861243,0.055230141,2.1996
5,0.064813972,0.001921535,1641861243,1641861243,0.06291008,2.1996
6,0.060613871,0.002343178,1641861243,1641861243,0.058290005,2.1996
7,0.055886745,0.002080441,1641861243,1641861243,0.05381012,2.1996
8,0.057819009,0.002134681,1641861244,1641861243,0.055699825,2.1996
9,0.05597353,0.00215888,1641861244,1641861244,0.053820133,2.1996
10,0.066633821,0.002028346,1641861244,1641861244,0.064620018,2.1996
11,0.074376941,0.001981616,1641861244,1641861244,0.072410107,2.1996
12,0.056617379,0.002099872,1641861244,1641861244,0.054530144,2.1996
13,0.152727842,0.002144814,1641861244,1641861244,0.150599957,2.1996
14,0.067091465,0.002027988,1641861244,1641861244,0.065079927,2.1996
15,0.06219542,0.002265573,1641861244,1641861244,0.0599401,2.1996
16,0.069676638,0.00219512,1641861244,1641861244,0.067490101,2.1996
17,0.057782888,0.002217531,1641861244,1641861244,0.055579901,2.1996
18,0.06537509,0.002109051,1641861244,1641861244,0.063280106,2.1996
19,0.070166111,0.002105474,1641861244,1641861244,0.068070173,2.1996
20,0.062551379,0.002266288,1641861244,1641861244,0.060299873,2.1996
21,0.056492567,0.002128124,1641861244,1641861244,0.05437994,2.1996
22,0.0620327,0.002136707,1641861244,1641861244,0.059909821,2.1996
23,0.057229877,0.002231717,1641861245,1641861244,0.055009842,2.1996
24,0.06284225,0.002032876,1641861245,1641861245,0.060819864,2.1996
25,0.059808731,0.002072096,1641861245,1641861245,0.057739973,2.1996
26,0.055963278,0.002139807,1641861245,1641861245,0.053839922,2.1996
27,0.059223771,0.001964688,1641861245,1641861245,0.057280064,2.1996
28,0.067401886,0.002199888,1641861245,1641861245,0.065210104,2.1996
29,0.047002316,0.002299309,1641861245,1641861245,0.044710159,2.1996
30,0.059179783,0.002220631,1641861245,1641861245,0.056970119,2.1996
31,0.058068633,0.002111793,1641861245,1641861245,0.055969954,2.1996
32,0.070744395,0.002207398,1641861245,1641861245,0.068549871,2.1996
33,0.059131265,0.002218843,1641861245,1641861245,0.056919813,2.1996
34,0.057313561,0.002191663,1641861245,1641861245,0.055130005,2.1996
35,0.056417942,0.00208807,1641861245,1641861245,0.054340124,2.1996
36,0.057474732,0.002069116,1641861245,1641861245,0.055419922,2.1996
37,0.06236136,0.002096534,1641861245,1641861245,0.060280085,2.1996
38,0.06027329,0.002235055,1641861245,1641861245,0.058049917,2.1996
39,0.055939436,0.00212431,1641861245,1641861245,0.053820133,2.1996
40,0.057471991,0.002034187,1641861246,1641861245,0.055450201,2.1996
41,0.057374001,0.002025843,1641861246,1641861246,0.05535984,2.1996
42,0.058075428,0.002267122,1641861246,1641861246,0.055819988,2.1996
43,0.057116866,0.002110124,1641861246,1641861246,0.055020094,2.1996
44,0.067937613,0.002013922,1641861246,1641861246,0.06592989,2.1996
45,0.057094574,0.001595259,1641861246,1641861246,0.055510044,2.1996
46,0.054844379,0.001949787,1641861246,1641861246,0.052909851,2.1996
47,0.059554219,0.002125382,1641861246,1641861246,0.057440042,2.1996
48,0.067413926,0.00211513,1641861246,1641861246,0.065310001,2.1996
49,0.069905996,0.002155781,1641861246,1641861246,0.067759991,2.1996
50,0.062785387,0.002012253,1641861246,1641861246,0.060799837,2.1996
51,0.068592548,0.002163649,1641861246,1641861246,0.066440105,2.1996
52,0.0578233,0.002225041,1641861246,1641861246,0.055609941,2.1996
53,0.058193088,0.001981139,1641861246,1641861246,0.056219816,2.1996
54,0.058100224,0.002370834,1641861246,1641861246,0.055740118,2.1996
55,0.059717894,0.002122402,1641861246,1641861246,0.057609797,2.1996
56,0.061411142,0.002149343,1641861246,1641861246,0.059269905,2.1996
57,0.05731082,0.001925707,1641861247,1641861246,0.055400133,2.1996
58,0.050200105,0.002173781,1641861247,1641861247,0.048039913,2.1996
59,0.057119608,0.002266407,1641861247,1641861247,0.05486989,2.1996
60,0.069691539,0.002141833,1641861247,1641861247,0.067559958,2.1996
61,0.057917356,0.002066135,1641861247,1641861247,0.055860043,2.1996
62,0.055864453,0.002049565,1641861247,1641861247,0.053830147,2.1996
63,0.068922639,0.00205338,1641861247,1641861247,0.066879988,2.1996
64,0.057102084,0.002154946,1641861247,1641861247,0.054960012,2.1996
65,0.068425894,0.002073765,1641861247,1641861247,0.066359997,2.1996
66,0.05529809,0.002157688,1641861247,1641861247,0.053150177,2.1996
67,0.053309321,0.002198577,1641861247,1641861247,0.051120043,2.1996
68,0.065390229,0.002102971,1641861247,1641861247,0.063290119,2.1996
69,0.074673057,0.006326556,1641861247,1641861247,0.06836009,2.1996
70,0.055758834,0.002188563,1641861247,1641861247,0.053590059,2.1996
71,0.060497761,0.00210619,1641861247,1641861247,0.058399916,2.1996
72,0.056522965,0.00228703,1641861247,1641861247,0.054239988,2.1996
73,0.067318797,0.002144694,1641861247,1641861247,0.065189838,2.1996
74,0.056845307,0.001949906,1641861248,1641861247,0.054909945,2.1996
75,0.056295156,0.001972914,1641861248,1641861248,0.054340124,2.1996
76,0.056796789,0.002220869,1641861248,1641861248,0.054589987,2.1996
77,0.056834579,0.002055287,1641861248,1641861248,0.05479002,2.1996
78,0.056296229,0.002078891,1641861248,1641861248,0.054229975,2.1996
79,0.056174874,0.002086997,1641861248,1641861248,0.054100037,2.1996
80,0.071292996,0.002201915,1641861248,1641861248,0.069110155,2.1996
81,0.058225751,0.002086997,1641861248,1641861248,0.05614996,2.1996
82,0.064185858,0.002103806,1641861248,1641861248,0.062100172,2.1996
83,0.055481076,0.002070785,1641861248,1641861248,0.053420067,2.1996
84,0.057388544,0.002012968,1641861248,1641861248,0.05539012,2.1996
85,0.067314148,0.002178192,1641861248,1641861248,0.065150023,2.1996
86,0.058333039,0.002110124,1641861248,1641861248,0.056230068,2.1996
87,0.056648612,0.002075076,1641861248,1641861248,0.054579973,2.1996
88,0.055955529,0.002119899,1641861248,1641861248,0.053849936,2.1996
89,0.050770998,0.002255678,1641861248,1641861248,0.048530102,2.1996
90,0.052387834,0.002246976,1641861248,1641861248,0.050159931,2.1996
91,0.056301117,0.000468969,1641861249,1641861248,0.055840015,2.1996
92,0.055901647,0.002161384,1641861249,1641861249,0.053750038,2.1996
93,0.059391022,0.002136707,1641861249,1641861249,0.05727005,2.1996
94,0.068658233,0.002033591,1641861249,1641861249,0.0666399,2.1996
95,0.05720067,0.002090931,1641861249,1641861249,0.055119991,2.1996
96,0.059042096,0.002143502,1641861249,1641861249,0.056910038,2.1996
97,0.054405808,0.002096057,1641861249,1641861249,0.052320004,2.1996
98,0.058990955,0.002069235,1641861249,1641861249,0.056940079,2.1996
99,0.068791747,0.002268195,1641861249,1641861249,0.066540003,2.1996
100,0.068232894,0.002169251,1641861249,1641861249,0.066080093,2.1996
101,0.057897806,0.00206542,1641861249,1641861249,0.055840015,2.1996
102,0.056046844,0.002019286,1641861249,1641861249,0.054049969,2.1996
103,0.055010557,0.002231598,1641861249,1641861249,0.052790165,2.1996
104,0.069566011,0.002122641,1641861249,1641861249,0.067450047,2.1996
105,0.068644166,0.002164245,1641861249,1641861249,0.066499949,2.1996
106,0.062100649,0.00211668,1641861249,1641861249,0.059999943,2.1996
107,0.057983994,0.002069116,1641861249,1641861249,0.055929899,2.1996
108,0.05830729,0.00208509,1641861250,1641861249,0.056239843,2.1996
109,0.059182167,0.002226114,1641861250,1641861250,0.056970119,2.1996
110,0.059927464,0.002067089,1641861250,1641861250,0.057869911,2.1996
111,0.060432076,0.002107263,1641861250,1641861250,0.058330059,2.1996
112,0.057572484,0.00198257,1641861250,1641861250,0.055599928,2.1996
113,0.05661428,0.002200484,1641861250,1641861250,0.054419994,2.1996
114,0.065150499,0.002408743,1641861250,1641861250,0.062749863,2.1996
115,0.058463097,0.002189398,1641861250,1641861250,0.05629015,2.1996
116,0.056066751,0.002114534,1641861250,1641861250,0.05396986,2.1996
117,0.047199965,0.002074003,1641861250,1641861250,0.045140028,2.1996
118,0.062746525,0.002122879,1641861250,1641861250,0.060629845,2.1996
119,0.065812111,0.002082825,1641861250,1641861250,0.063740015,2.1996
120,0.05917573,0.002231121,1641861250,1641861250,0.056950092,2.1996
121,0.056082368,0.002197862,1641861250,1641861250,0.053900003,2.1996
122,0.057551146,0.002066374,1641861250,1641861250,0.055500031,2.1996
123,0.057173848,0.002030015,1641861250,1641861250,0.055160046,2.1996
124,0.061815381,0.002334714,1641861250,1641861250,0.059489965,2.1996
