T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,ptp,quic
1641992142.380838506s,1641992142.411039210s,1641992142.411057312s,1641992142.381582254s,0.030201s,-0.029475s,0.000363s,0.029838,0.032758287
1641992142.381582254s,1641992142.411765214s,1641992142.411784570s,1641992142.382304005s,0.030183s,-0.029481s,0.000351s,0.029832,0.032756838
1641992142.382304005s,1641992142.412484413s,1641992142.412545775s,1641992142.383273557s,0.030180s,-0.029272s,0.000454s,0.029726,0.032755595
1641992142.383273557s,1641992142.413505324s,1641992142.413524959s,1641992142.384089137s,0.030232s,-0.029436s,0.000398s,0.029834,0.032752897
1641992142.384089137s,1641992142.414350905s,1641992142.414375233s,1641992142.384964349s,0.030262s,-0.029411s,0.000425s,0.029836,0.032752087
1641992142.384964349s,1641992142.415163362s,1641992142.415182849s,1641992142.385757690s,0.030199s,-0.029425s,0.000387s,0.029812,0.032751369
1641992142.385757690s,1641992142.415931144s,1641992142.415951128s,1641992142.386752495s,0.030174s,-0.029198s,0.000488s,0.029686,0.03274975
1641992142.386752495s,1641992142.416958687s,1641992142.416978870s,1641992142.387535731s,0.030206s,-0.029443s,0.000381s,0.029824,0.032748882
1641992142.387535731s,1641992142.417714231s,1641992142.417736778s,1641992142.388243507s,0.030178s,-0.029493s,0.000342s,0.029836,0.032747961
1641992142.388243507s,1641992142.418423087s,1641992142.418446371s,1641992142.388993815s,0.030180s,-0.029453s,0.000364s,0.029816,0.032746112
1641992142.388993815s,1641992142.419161284s,1641992142.419184058s,1641992142.389700462s,0.030168s,-0.029484s,0.000342s,0.029826,0.032751327
1641992142.389700462s,1641992142.419888488s,1641992142.419907104s,1641992142.392366105s,0.030188s,-0.027541s,0.001324s,0.028865,0.032750105
1641992142.392366105s,1641992142.422576024s,1641992142.422596150s,1641992142.393168531s,0.030210s,-0.029428s,0.000391s,0.029819,0.032748941
1641992142.393168531s,1641992142.423352868s,1641992142.423372030s,1641992142.393952995s,0.030185s,-0.029419s,0.000383s,0.029802,0.032746697
1641992142.393952995s,1641992142.424145696s,1641992142.424164660s,1641992142.394663543s,0.030193s,-0.029501s,0.000346s,0.029847,0.032744502
1641992142.394663543s,1641992142.424867220s,1641992142.424887261s,1641992142.395424262s,0.030204s,-0.029463s,0.000370s,0.029833,0.032726054
1641992142.395424262s,1641992142.425695636s,1641992142.425737557s,1641992142.396286600s,0.030271s,-0.029451s,0.000410s,0.029861,0.032724571
1641992142.396286600s,1641992142.426487609s,1641992142.426507684s,1641992142.397034813s,0.030201s,-0.029473s,0.000364s,0.029837,0.032723916
1641992142.397034813s,1641992142.427239799s,1641992142.427259934s,1641992142.397795102s,0.030205s,-0.029465s,0.000370s,0.029835,0.03272248
1641992142.397795102s,1641992142.427983523s,1641992142.428013935s,1641992142.398593969s,0.030188s,-0.029420s,0.000384s,0.029804,0.03272191
1641992142.398593969s,1641992142.428791138s,1641992142.428812644s,1641992142.399353922s,0.030197s,-0.029459s,0.000369s,0.029828,0.032721562
1641992142.399353922s,1641992142.429559394s,1641992142.429580021s,1641992142.400114537s,0.030205s,-0.029465s,0.000370s,0.029835,0.032721549
1641992142.400114537s,1641992142.430304141s,1641992142.430324516s,1641992142.400900117s,0.030190s,-0.029424s,0.000383s,0.029807,0.032721084
1641992142.400900117s,1641992142.431100988s,1641992142.431119086s,1641992142.401649474s,0.030201s,-0.029470s,0.000366s,0.029835,0.032721558
1641992142.401649474s,1641992142.431822317s,1641992142.431855958s,1641992142.403216133s,0.030173s,-0.028640s,0.000767s,0.029406,0.032719993
1641992142.403216133s,1641992142.433393380s,1641992142.433414964s,1641992142.403957412s,0.030177s,-0.029458s,0.000360s,0.029817,0.032719022
1641992142.403957412s,1641992142.434130461s,1641992142.434151713s,1641992142.404706061s,0.030173s,-0.029446s,0.000364s,0.029809,0.032718442
1641992142.404706061s,1641992142.434885896s,1641992142.434906032s,1641992142.405442578s,0.030180s,-0.029464s,0.000358s,0.029822,0.032718073
1641992142.405442578s,1641992142.435659304s,1641992142.435679685s,1641992142.406177921s,0.030217s,-0.029502s,0.000358s,0.029859,0.032717504
1641992142.406177921s,1641992142.436377592s,1641992142.436422188s,1641992142.406931983s,0.030200s,-0.029490s,0.000355s,0.029845,0.032717054
1641992142.406931983s,1641992142.437112327s,1641992142.437133136s,1641992142.407647314s,0.030180s,-0.029486s,0.000347s,0.029833,0.032716319
1641992142.407647314s,1641992142.437825891s,1641992142.437849457s,1641992142.408354635s,0.030179s,-0.029495s,0.000342s,0.029837,0.032715787
1641992142.408354635s,1641992142.438524276s,1641992142.438546163s,1641992142.409075256s,0.030170s,-0.029471s,0.000349s,0.02982,0.032715297
1641992142.409075256s,1641992142.439298493s,1641992142.439317828s,1641992142.412357559s,0.030223s,-0.026960s,0.001631s,0.028592,0.032715495
1641992142.412357559s,1641992142.442566229s,1641992142.442586300s,1641992142.413147496s,0.030209s,-0.029439s,0.000385s,0.029824,0.032715663
1641992142.413147496s,1641992142.443341471s,1641992142.443376787s,1641992142.413935386s,0.030194s,-0.029441s,0.000376s,0.029818,0.032715338
1641992142.413935386s,1641992142.444139065s,1641992142.444161319s,1641992142.414644043s,0.030204s,-0.029517s,0.000343s,0.02986,0.032715691
1641992142.414644043s,1641992142.444848322s,1641992142.444870594s,1641992142.415422781s,0.030204s,-0.029448s,0.000378s,0.029826,0.032714714
1641992142.415422781s,1641992142.445636457s,1641992142.445657808s,1641992142.416303060s,0.030214s,-0.029355s,0.000430s,0.029784,0.032709595
1641992142.416303060s,1641992142.446512377s,1641992142.446521028s,1641992142.417032729s,0.030209s,-0.029488s,0.000360s,0.029849,0.032708651
1641992142.417032729s,1641992142.447222258s,1641992142.447224126s,1641992142.417708214s,0.030190s,-0.029516s,0.000337s,0.029853,0.032708146
1641992142.417708214s,1641992142.447891218s,1641992142.447912768s,1641992142.418422581s,0.030183s,-0.029490s,0.000347s,0.029837,0.032707941
1641992142.418422581s,1641992142.448627957s,1641992142.448648574s,1641992142.419167388s,0.030205s,-0.029481s,0.000362s,0.029843,0.032707302
1641992142.419167388s,1641992142.449372197s,1641992142.449396732s,1641992142.424455278s,0.030205s,-0.024942s,0.002632s,0.027573,0.032707156
1641992142.424455278s,1641992142.454669669s,1641992142.454691643s,1641992142.425212564s,0.030215s,-0.029479s,0.000368s,0.029847,0.032706505
1641992142.425212564s,1641992142.455399362s,1641992142.455442192s,1641992142.425934062s,0.030187s,-0.029508s,0.000339s,0.029847,0.032706098
1641992142.425934062s,1641992142.456181800s,1641992142.456210500s,1641992142.426700569s,0.030248s,-0.029510s,0.000369s,0.029879,0.032705901
1641992142.426700569s,1641992142.456898151s,1641992142.456900274s,1641992142.427394120s,0.030198s,-0.029506s,0.000346s,0.029852,0.032704371
1641992142.427394120s,1641992142.457578110s,1641992142.457598272s,1641992142.428086637s,0.030184s,-0.029512s,0.000336s,0.029848,0.032704055
1641992142.428086637s,1641992142.458268542s,1641992142.458289665s,1641992142.428778646s,0.030182s,-0.029511s,0.000336s,0.029847,0.032704309
1641992142.428778646s,1641992142.458960798s,1641992142.458993302s,1641992142.429487942s,0.030182s,-0.029505s,0.000338s,0.029844,0.032704081
1641992142.429487942s,1641992142.459676556s,1641992142.459696211s,1641992142.430227473s,0.030189s,-0.029469s,0.000360s,0.029829,0.03270323
1641992142.430227473s,1641992142.460404453s,1641992142.460425454s,1641992142.430948073s,0.030177s,-0.029477s,0.000350s,0.029827,0.032702001
1641992142.430948073s,1641992142.461134927s,1641992142.461157105s,1641992142.431675805s,0.030187s,-0.029481s,0.000353s,0.029834,0.032701848
1641992142.431675805s,1641992142.461890216s,1641992142.461910833s,1641992142.432429498s,0.030214s,-0.029481s,0.000367s,0.029848,0.032700951
1641992142.432429498s,1641992142.462596171s,1641992142.462615983s,1641992142.433108146s,0.030167s,-0.029508s,0.000329s,0.029837,0.032699772
1641992142.433108146s,1641992142.463279969s,1641992142.463299142s,1641992142.433806933s,0.030172s,-0.029492s,0.000340s,0.029832,0.032698928
1641992142.433806933s,1641992142.463967624s,1641992142.463989653s,1641992142.434515854s,0.030161s,-0.029474s,0.000343s,0.029817,0.032698286
1641992142.434515854s,1641992142.464692981s,1641992142.464714342s,1641992142.435222579s,0.030177s,-0.029492s,0.000343s,0.029834,0.032697138
1641992142.435222579s,1641992142.465402271s,1641992142.465423066s,1641992142.435917252s,0.030180s,-0.029506s,0.000337s,0.029843,0.032696943
1641992142.435917252s,1641992142.466103866s,1641992142.466105306s,1641992142.436628184s,0.030187s,-0.029477s,0.000355s,0.029832,0.032696933
1641992142.436628184s,1641992142.466802331s,1641992142.466828572s,1641992142.437332143s,0.030174s,-0.029496s,0.000339s,0.029835,0.032696735
1641992142.437332143s,1641992142.467508667s,1641992142.467535098s,1641992142.438054080s,0.030176s,-0.029481s,0.000348s,0.029829,0.03269692
1641992142.438054080s,1641992142.468226715s,1641992142.468262824s,1641992142.438850057s,0.030173s,-0.029413s,0.000380s,0.029793,0.032696729
1641992142.438850057s,1641992142.469030468s,1641992142.469055589s,1641992142.439607959s,0.030180s,-0.029448s,0.000366s,0.029814,0.032696781
1641992142.439607959s,1641992142.469801882s,1641992142.469860891s,1641992142.440410590s,0.030194s,-0.029450s,0.000372s,0.029822,0.032697211
1641992142.440410590s,1641992142.470585525s,1641992142.470623352s,1641992142.441150365s,0.030175s,-0.029473s,0.000351s,0.029824,0.03269766
1641992142.441150365s,1641992142.471339762s,1641992142.471375104s,1641992142.441910370s,0.030189s,-0.029465s,0.000362s,0.029827,0.032696662
1641992142.441910370s,1641992142.472083491s,1641992142.472105155s,1641992142.442617888s,0.030173s,-0.029487s,0.000343s,0.02983,0.032696675
1641992142.442617888s,1641992142.472798018s,1641992142.472876268s,1641992142.448273536s,0.030180s,-0.024603s,0.002789s,0.027392,0.032696377
1641992142.448273536s,1641992142.478497654s,1641992142.478518352s,1641992142.449037646s,0.030224s,-0.029481s,0.000372s,0.029853,0.032696362
1641992142.449037646s,1641992142.479260397s,1641992142.479262217s,1641992142.449802084s,0.030223s,-0.029460s,0.000381s,0.029841,0.032696056
