T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,ptp,quic
1641992142.260539322s,1641992142.290732039s,1641992142.290758052s,1641992142.261283732s,0.030193s,-0.029474s,0.000359s,0.029834,0.03223598
1641992142.261283732s,1641992142.291449013s,1641992142.291472637s,1641992142.261987554s,0.030165s,-0.029485s,0.000340s,0.029825,0.031845212
1641992142.261987554s,1641992142.292151520s,1641992142.292176780s,1641992142.262698574s,0.030164s,-0.029478s,0.000343s,0.029821,0.032570839
1641992142.262698574s,1641992142.292877335s,1641992142.292902463s,1641992142.263422174s,0.030179s,-0.029480s,0.000349s,0.02983,0.032384872
1641992142.263422174s,1641992142.293604195s,1641992142.293630900s,1641992142.264176553s,0.030182s,-0.029454s,0.000364s,0.029818,0.032414347
1641992142.264176553s,1641992142.294350559s,1641992142.294375906s,1641992142.264868980s,0.030174s,-0.029507s,0.000334s,0.02984,0.032554793
1641992142.264868980s,1641992142.295039212s,1641992142.295058308s,1641992142.265568491s,0.030170s,-0.029490s,0.000340s,0.02983,0.033031384
1641992142.265568491s,1641992142.295770779s,1641992142.295791648s,1641992142.266308511s,0.030202s,-0.029483s,0.000360s,0.029843,0.032977615
1641992142.266308511s,1641992142.296546060s,1641992142.296565452s,1641992142.267083835s,0.030237s,-0.029482s,0.000378s,0.02986,0.032886192
1641992142.267083835s,1641992142.297287220s,1641992142.297307547s,1641992142.267829295s,0.030203s,-0.029478s,0.000363s,0.029841,0.032840093
1641992142.267829295s,1641992142.298000590s,1641992142.298030848s,1641992142.268547902s,0.030171s,-0.029483s,0.000344s,0.029827,0.032755911
1641992142.268547902s,1641992142.298704926s,1641992142.298725052s,1641992142.269269399s,0.030157s,-0.029456s,0.000351s,0.029806,0.032731479
1641992142.269269399s,1641992142.299490235s,1641992142.299521254s,1641992142.270053006s,0.030221s,-0.029468s,0.000376s,0.029845,0.032712489
1641992142.270053006s,1641992142.300217129s,1641992142.300248002s,1641992142.270992859s,0.030164s,-0.029255s,0.000455s,0.02971,0.032696265
1641992142.270992859s,1641992142.301167993s,1641992142.301188132s,1641992142.271700046s,0.030175s,-0.029488s,0.000344s,0.029832,0.032682461
1641992142.271700046s,1641992142.301872192s,1641992142.301887465s,1641992142.274630162s,0.030172s,-0.027257s,0.001457s,0.028715,0.03267537
1641992142.274630162s,1641992142.304817540s,1641992142.304835302s,1641992142.275325334s,0.030187s,-0.029510s,0.000339s,0.029849,0.032717571
1641992142.275325334s,1641992142.305629759s,1641992142.305649990s,1641992142.276166594s,0.030304s,-0.029483s,0.000411s,0.029894,0.032707193
1641992142.276166594s,1641992142.306397809s,1641992142.306400665s,1641992142.276957956s,0.030231s,-0.029443s,0.000394s,0.029837,0.03270032
1641992142.276957956s,1641992142.307130874s,1641992142.307152303s,1641992142.277663312s,0.030173s,-0.029489s,0.000342s,0.029831,0.032688448
1641992142.277663312s,1641992142.307852717s,1641992142.307874340s,1641992142.278411138s,0.030190s,-0.029463s,0.000363s,0.029826,0.032677722
1641992142.278411138s,1641992142.308620952s,1641992142.308640134s,1641992142.279206811s,0.030210s,-0.029433s,0.000388s,0.029822,0.032757146
1641992142.279206811s,1641992142.309420664s,1641992142.309440537s,1641992142.280140465s,0.030214s,-0.029300s,0.000457s,0.029757,0.03279544
1641992142.280140465s,1641992142.310338985s,1641992142.310357006s,1641992142.281267904s,0.030199s,-0.029089s,0.000555s,0.029644,0.032787276
1641992142.281267904s,1641992142.311488495s,1641992142.311507763s,1641992142.282541217s,0.030221s,-0.028966s,0.000627s,0.029593,0.032777409
1641992142.282541217s,1641992142.312741352s,1641992142.312763955s,1641992142.283715371s,0.030200s,-0.029048s,0.000576s,0.029624,0.032810383
1641992142.283715371s,1641992142.313881650s,1641992142.313890628s,1641992142.288378583s,0.030166s,-0.025512s,0.002327s,0.027839,0.032896065
1641992142.288378583s,1641992142.318588702s,1641992142.318610481s,1641992142.289164336s,0.030210s,-0.029446s,0.000382s,0.029828,0.032884156
1641992142.289164336s,1641992142.319337152s,1641992142.319358547s,1641992142.289888260s,0.030173s,-0.029470s,0.000351s,0.029822,0.032937935
1641992142.289888260s,1641992142.320055987s,1641992142.320083717s,1641992142.290579790s,0.030168s,-0.029504s,0.000332s,0.029836,0.032908547
1641992142.290579790s,1641992142.320746406s,1641992142.320762517s,1641992142.291365407s,0.030167s,-0.029397s,0.000385s,0.029782,0.032977418
1641992142.291365407s,1641992142.321487925s,1641992142.321507415s,1641992142.292007888s,0.030123s,-0.029500s,0.000311s,0.029811,0.03296651
1641992142.292007888s,1641992142.322158959s,1641992142.322177080s,1641992142.292704600s,0.030151s,-0.029473s,0.000339s,0.029812,0.032989636
1641992142.292704600s,1641992142.322880245s,1641992142.322908825s,1641992142.293401409s,0.030176s,-0.029507s,0.000334s,0.029842,0.032967896
1641992142.293401409s,1641992142.323603307s,1641992142.323631437s,1641992142.294163615s,0.030202s,-0.029468s,0.000367s,0.029835,0.032954854
1641992142.294163615s,1641992142.324344646s,1641992142.324346567s,1641992142.294901949s,0.030181s,-0.029445s,0.000368s,0.029813,0.032941893
1641992142.294901949s,1641992142.325066846s,1641992142.325089288s,1641992142.295945701s,0.030165s,-0.029144s,0.000511s,0.029654,0.032924228
1641992142.295945701s,1641992142.326022732s,1641992142.326049361s,1641992142.296569007s,0.030077s,-0.029480s,0.000298s,0.029779,0.032910576
1641992142.296569007s,1641992142.326745339s,1641992142.326767700s,1641992142.297289533s,0.030176s,-0.029478s,0.000349s,0.029827,0.032899788
1641992142.297289533s,1641992142.327458535s,1641992142.327496913s,1641992142.297993342s,0.030169s,-0.029504s,0.000333s,0.029836,0.032890308
1641992142.297993342s,1641992142.328180141s,1641992142.328200809s,1641992142.298723535s,0.030187s,-0.029477s,0.000355s,0.029832,0.032881552
1641992142.298723535s,1641992142.328885138s,1641992142.328904111s,1641992142.299424448s,0.030162s,-0.029480s,0.000341s,0.029821,0.032875637
1641992142.299424448s,1641992142.329587586s,1641992142.329618888s,1641992142.300150882s,0.030163s,-0.029468s,0.000348s,0.029816,0.032887195
1641992142.300150882s,1641992142.330335895s,1641992142.330355439s,1641992142.300881717s,0.030185s,-0.029474s,0.000356s,0.029829,0.032879987
1641992142.300881717s,1641992142.331056899s,1641992142.331079236s,1641992142.301581662s,0.030175s,-0.029498s,0.000339s,0.029836,0.032931688
1641992142.301581662s,1641992142.331761650s,1641992142.331793263s,1641992142.302334104s,0.030180s,-0.029459s,0.000360s,0.02982,0.032922337
1641992142.302334104s,1641992142.332523429s,1641992142.332560945s,1641992142.303143272s,0.030189s,-0.029418s,0.000386s,0.029804,0.032912332
1641992142.303143272s,1641992142.333338125s,1641992142.333373231s,1641992142.303925732s,0.030195s,-0.029448s,0.000374s,0.029821,0.032904417
1641992142.303925732s,1641992142.334010245s,1641992142.334033278s,1641992142.304569257s,0.030085s,-0.029464s,0.000310s,0.029774,0.032897507
1641992142.304569257s,1641992142.334820774s,1641992142.334858221s,1641992142.305382148s,0.030252s,-0.029476s,0.000388s,0.029864,0.032926423
1641992142.305382148s,1641992142.335600404s,1641992142.335629111s,1641992142.306182619s,0.030218s,-0.029447s,0.000386s,0.029832,0.032920442
1641992142.306182619s,1641992142.336394638s,1641992142.336396554s,1641992142.306943901s,0.030212s,-0.029453s,0.000380s,0.029832,0.0329291
1641992142.306943901s,1641992142.337131109s,1641992142.337151007s,1641992142.312271792s,0.030187s,-0.024879s,0.002654s,0.027533,0.032971543
1641992142.312271792s,1641992142.342521916s,1641992142.342541231s,1641992142.313065757s,0.030250s,-0.029475s,0.000387s,0.029863,0.032962012
1641992142.313065757s,1641992142.343252913s,1641992142.343288348s,1641992142.313934092s,0.030187s,-0.029354s,0.000416s,0.029771,0.032952618
1641992142.313934092s,1641992142.344155201s,1641992142.344176860s,1641992142.314689524s,0.030221s,-0.029487s,0.000367s,0.029854,0.032969275
1641992142.314689524s,1641992142.344889389s,1641992142.344912018s,1641992142.315462190s,0.030200s,-0.029450s,0.000375s,0.029825,0.032956615
1641992142.315462190s,1641992142.345662033s,1641992142.345683949s,1641992142.316218794s,0.030200s,-0.029465s,0.000367s,0.029833,0.032948534
1641992142.316218794s,1641992142.346432676s,1641992142.346458754s,1641992142.317255289s,0.030214s,-0.029203s,0.000505s,0.029709,0.032945392
1641992142.317255289s,1641992142.347419790s,1641992142.347443874s,1641992142.318005494s,0.030164s,-0.029438s,0.000363s,0.029801,0.032940016
1641992142.318005494s,1641992142.348211809s,1641992142.348229813s,1641992142.320588089s,0.030206s,-0.027642s,0.001282s,0.028924,0.032932677
1641992142.320588089s,1641992142.350796840s,1641992142.350824090s,1641992142.321422418s,0.030209s,-0.029402s,0.000404s,0.029805,0.032925211
1641992142.321422418s,1641992142.351659652s,1641992142.351671541s,1641992142.322193001s,0.030237s,-0.029479s,0.000379s,0.029858,0.032921385
1641992142.322193001s,1641992142.352408969s,1641992142.352475920s,1641992142.323001187s,0.030216s,-0.029475s,0.000371s,0.029845,0.032917032
1641992142.323001187s,1641992142.353184556s,1641992142.353205547s,1641992142.323775231s,0.030183s,-0.029430s,0.000377s,0.029807,0.032913366
1641992142.323775231s,1641992142.353974747s,1641992142.354003104s,1641992142.324579822s,0.030200s,-0.029423s,0.000388s,0.029812,0.032908856
1641992142.324579822s,1641992142.354795191s,1641992142.354832672s,1641992142.325390603s,0.030216s,-0.029442s,0.000387s,0.029829,0.03290536
1641992142.325390603s,1641992142.355557066s,1641992142.355578045s,1641992142.326155275s,0.030166s,-0.029423s,0.000372s,0.029795,0.032899657
1641992142.326155275s,1641992142.356406057s,1641992142.356407894s,1641992142.326960165s,0.030251s,-0.029448s,0.000401s,0.029849,0.032895246
1641992142.326960165s,1641992142.357150074s,1641992142.357186007s,1641992142.327693724s,0.030190s,-0.029492s,0.000349s,0.029841,0.032892542
1641992142.327693724s,1641992142.357864669s,1641992142.357866653s,1641992142.328397022s,0.030171s,-0.029470s,0.000351s,0.02982,0.032879012
1641992142.328397022s,1641992142.358576522s,1641992142.358598206s,1641992142.329140156s,0.030180s,-0.029458s,0.000361s,0.029819,0.032867398
1641992142.329140156s,1641992142.359308930s,1641992142.359326068s,1641992142.330087159s,0.030169s,-0.029239s,0.000465s,0.029704,0.032862792
1641992142.330087159s,1641992142.360246671s,1641992142.360270536s,1641992142.330821095s,0.030159s,-0.029449s,0.000355s,0.029804,0.032857807
1641992142.330821095s,1641992142.361011538s,1641992142.361013003s,1641992142.331628616s,0.030190s,-0.029384s,0.000403s,0.029787,0.032854412
1641992142.331628616s,1641992142.361789392s,1641992142.361809657s,1641992142.332374966s,0.030161s,-0.029435s,0.000363s,0.029798,0.032851248
1641992142.332374966s,1641992142.362534510s,1641992142.362556421s,1641992142.333093196s,0.030159s,-0.029463s,0.000348s,0.029811,0.032848313
1641992142.333093196s,1641992142.363276980s,1641992142.363294351s,1641992142.333845280s,0.030184s,-0.029449s,0.000367s,0.029816,0.032844739
1641992142.333845280s,1641992142.364037773s,1641992142.364059689s,1641992142.334608544s,0.030192s,-0.029451s,0.000371s,0.029822,0.032842381
1641992142.334608544s,1641992142.364791040s,1641992142.364822300s,1641992142.335363592s,0.030183s,-0.029459s,0.000362s,0.029821,0.032839869
1641992142.335363592s,1641992142.365534028s,1641992142.365553961s,1641992142.336100853s,0.030170s,-0.029453s,0.000359s,0.029812,0.032837005
1641992142.336100853s,1641992142.366258609s,1641992142.366292909s,1641992142.336883943s,0.030158s,-0.029409s,0.000374s,0.029783,0.032832945
1641992142.336883943s,1641992142.367080195s,1641992142.367102382s,1641992142.337693111s,0.030196s,-0.029409s,0.000394s,0.029803,0.03282952
1641992142.337693111s,1641992142.367868077s,1641992142.367889342s,1641992142.338597202s,0.030175s,-0.029292s,0.000441s,0.029734,0.032827442
1641992142.338597202s,1641992142.368709624s,1641992142.368726968s,1641992142.339240371s,0.030112s,-0.029487s,0.000313s,0.029799,0.032824887
1641992142.339240371s,1641992142.369351609s,1641992142.369373346s,1641992142.339892471s,0.030111s,-0.029481s,0.000315s,0.029796,0.032822791
1641992142.339892471s,1641992142.370095145s,1641992142.370127166s,1641992142.340625561s,0.030203s,-0.029502s,0.000351s,0.029852,0.032818815
1641992142.340625561s,1641992142.370799662s,1641992142.370819551s,1641992142.341347928s,0.030174s,-0.029472s,0.000351s,0.029823,0.032816262
1641992142.341347928s,1641992142.371585470s,1641992142.371606059s,1641992142.342155254s,0.030237s,-0.029451s,0.000393s,0.029844,0.03281257
1641992142.342155254s,1641992142.372321721s,1641992142.372341072s,1641992142.348240254s,0.030166s,-0.024101s,0.003033s,0.027134,0.032811465
1641992142.348240254s,1641992142.378474789s,1641992142.378497825s,1641992142.349125862s,0.030235s,-0.029372s,0.000431s,0.029803,0.032807722
1641992142.349125862s,1641992142.379321615s,1641992142.379354793s,1641992142.349890076s,0.030196s,-0.029465s,0.000365s,0.02983,0.032818562
1641992142.349890076s,1641992142.380131705s,1641992142.380165257s,1641992142.350846621s,0.030242s,-0.029319s,0.000461s,0.02978,0.032814737
1641992142.350846621s,1641992142.381052097s,1641992142.381086680s,1641992142.351603216s,0.030205s,-0.029483s,0.000361s,0.029844,0.032810978
1641992142.351603216s,1641992142.381800939s,1641992142.381823581s,1641992142.352577094s,0.030198s,-0.029246s,0.000476s,0.029722,0.032807836
1641992142.352577094s,1641992142.382854749s,1641992142.382901560s,1641992142.353557828s,0.030277s,-0.029344s,0.000467s,0.029811,0.032820329
1641992142.353557828s,1641992142.383757855s,1641992142.383774427s,1641992142.354334494s,0.030200s,-0.029440s,0.000380s,0.02982,0.032815631
1641992142.354334494s,1641992142.384556716s,1641992142.384603927s,1641992142.355312708s,0.030222s,-0.029291s,0.000466s,0.029757,0.032813037
1641992142.355312708s,1641992142.385518142s,1641992142.385520684s,1641992142.358971381s,0.030205s,-0.026549s,0.001828s,0.028377,0.032809705
1641992142.358971381s,1641992142.389146536s,1641992142.389167787s,1641992142.359740315s,0.030175s,-0.029428s,0.000374s,0.029801,0.032808495
1641992142.359740315s,1641992142.389934260s,1641992142.389965435s,1641992142.360474126s,0.030194s,-0.029491s,0.000351s,0.029843,0.03280605
1641992142.360474126s,1641992142.390631844s,1641992142.390668059s,1641992142.361178408s,0.030158s,-0.029490s,0.000334s,0.029824,0.032805135
1641992142.361178408s,1641992142.391342153s,1641992142.391362977s,1641992142.361868417s,0.030164s,-0.029495s,0.000335s,0.029829,0.032801982
1641992142.361868417s,1641992142.392037671s,1641992142.392058200s,1641992142.362603670s,0.030169s,-0.029454s,0.000357s,0.029812,0.032799897
1641992142.362603670s,1641992142.392837541s,1641992142.392859089s,1641992142.363350911s,0.030234s,-0.029508s,0.000363s,0.029871,0.032776136
1641992142.363350911s,1641992142.393547187s,1641992142.393568085s,1641992142.364104834s,0.030196s,-0.029463s,0.000367s,0.02983,0.032770235
1641992142.364104834s,1641992142.394302796s,1641992142.394327278s,1641992142.364847242s,0.030198s,-0.029480s,0.000359s,0.029839,0.03276929
1641992142.364847242s,1641992142.395044537s,1641992142.395069112s,1641992142.365704396s,0.030197s,-0.029365s,0.000416s,0.029781,0.032767991
1641992142.365704396s,1641992142.395893220s,1641992142.395915194s,1641992142.366447241s,0.030189s,-0.029468s,0.000360s,0.029829,0.032767184
1641992142.366447241s,1641992142.396633091s,1641992142.396665970s,1641992142.367203216s,0.030186s,-0.029463s,0.000362s,0.029824,0.032765534
1641992142.367203216s,1641992142.397402443s,1641992142.397449080s,1641992142.367953765s,0.030199s,-0.029495s,0.000352s,0.029847,0.032762611
1641992142.367953765s,1641992142.398126193s,1641992142.398146795s,1641992142.368698514s,0.030172s,-0.029448s,0.000362s,0.02981,0.03276142
1641992142.368698514s,1641992142.398861121s,1641992142.398881135s,1641992142.369408841s,0.030163s,-0.029472s,0.000345s,0.029817,0.032760205
1641992142.369408841s,1641992142.399596829s,1641992142.399628026s,1641992142.370137133s,0.030188s,-0.029491s,0.000349s,0.029839,0.032758876
1641992142.370137133s,1641992142.400296635s,1641992142.400329748s,1641992142.370855345s,0.030159s,-0.029474s,0.000342s,0.029817,0.032757086
1641992142.370855345s,1641992142.401019993s,1641992142.401039278s,1641992142.371583288s,0.030165s,-0.029456s,0.000354s,0.02981,0.03275629
1641992142.371583288s,1641992142.401767208s,1641992142.401785417s,1641992142.372328759s,0.030184s,-0.029457s,0.000364s,0.02982,0.032754291
1641992142.372328759s,1641992142.402727199s,1641992142.402751000s,1641992142.373255636s,0.030398s,-0.029495s,0.000452s,0.029947,0.032752607
1641992142.373255636s,1641992142.403429876s,1641992142.403507820s,1641992142.374042757s,0.030174s,-0.029465s,0.000355s,0.02982,0.032752843
1641992142.374042757s,1641992142.404240032s,1641992142.404260581s,1641992142.374772704s,0.030197s,-0.029488s,0.000355s,0.029843,0.032753199
1641992142.374772704s,1641992142.404967133s,1641992142.405009450s,1641992142.375575833s,0.030194s,-0.029434s,0.000380s,0.029814,0.032751491
1641992142.375575833s,1641992142.405764625s,1641992142.405793199s,1641992142.376301399s,0.030189s,-0.029492s,0.000348s,0.02984,0.032766784
1641992142.376301399s,1641992142.406515198s,1641992142.406516982s,1641992142.377035475s,0.030214s,-0.029482s,0.000366s,0.029848,0.032764864
1641992142.377035475s,1641992142.407225763s,1641992142.407247666s,1641992142.377778083s,0.030190s,-0.029470s,0.000360s,0.02983,0.032763734
1641992142.377778083s,1641992142.407964352s,1641992142.408013376s,1641992142.380072914s,0.030186s,-0.027941s,0.001123s,0.029063,0.032761377
1641992142.380072914s,1641992142.410249268s,1641992142.410268963s,1641992142.380838506s,0.030176s,-0.029431s,0.000373s,0.029804,0.032759918
